As of date,As of time,Mainland China,Number of reported/confirmed cases,Number of deaths,Remark
01/02/2020,9:00,Shandong,202,,
01/02/2020,9:00,Guangxi Zhuang Autonomous Region,100,,
01/02/2020,9:00,Yunnan,83,,
01/02/2020,9:00,Inner Mongolia Autonomous Region,20,,
01/02/2020,9:00,Zhejiang,537,,
01/02/2020,9:00,Henan,422,,
01/02/2020,9:00,Hebei,96,,
01/02/2020,9:00,Hainan,58,,
01/02/2020,9:00,Jilin,14,,
01/02/2020,9:00,Shanxi,47,,
01/02/2020,9:00,Ningxia Hui Autonomous Region,21,,
01/02/2020,9:00,Jiangsu,168,,
01/02/2020,9:00,Xinjiang Uygur Autonomous Region,17,,
01/02/2020,9:00,Qinghai,8,,
01/02/2020,9:00,Tibet Autonomous Region,1,,
01/02/2020,18:00,Beijing,156,,
01/02/2020,18:00,Liaoning,63,,
01/02/2020,18:00,Anhui,297,,
01/02/2020,18:00,Chongqing,247,,
01/02/2020,18:00,Shaanxi,101,,
01/02/2020,18:00,Tianjin,37,,
01/02/2020,18:00,Fujian,144,,
01/02/2020,18:00,Hunan,389,,
01/02/2020,18:00,Sichuan,207,,
01/02/2020,18:00,Gansu,35,,
01/02/2020,18:00,Heilongjiang,80,,
01/02/2020,18:00,Jiangxi,286,,
01/02/2020,18:00,Guangdong,535,,
01/02/2020,18:00,Guizhou,29,,
01/02/2020,18:00,Shanghai,169,,
01/02/2020,18:00,Shandong,206,,
01/02/2020,18:00,Guangxi Zhuang Autonomous Region,100,,
01/02/2020,18:00,Yunnan,91,,
01/02/2020,18:00,Inner Mongolia Autonomous Region,23,,
01/02/2020,18:00,Zhejiang,599,,
01/02/2020,18:00,Henan,422,,
01/02/2020,18:00,Hebei,96,,
01/02/2020,18:00,Hainan,60,,
01/02/2020,18:00,Jilin,17,,
01/02/2020,18:00,Shanxi,47,,
01/02/2020,18:00,Ningxia Hui Autonomous Region,26,,
01/02/2020,18:00,Jiangsu,202,,
01/02/2020,18:00,Xinjiang Uygur Autonomous Region,18,,
01/02/2020,18:00,Qinghai,9,,
01/02/2020,18:00,Tibet Autonomous Region,1,,
01/02/2020,23:59,Hubei,9074,,
02/02/2020,9:00,Beijing,168,,
02/02/2020,9:00,Liaoning,64,,
02/02/2020,9:00,Anhui,297,,
02/02/2020,9:00,Chongqing,262,,
02/02/2020,9:00,Shaanxi,101,,
02/02/2020,9:00,Tianjin,41,,
02/02/2020,9:00,Fujian,144,,
02/02/2020,9:00,Hunan,389,,
02/02/2020,9:00,Sichuan,231,,
02/02/2020,9:00,Gansu,40,,
02/02/2020,9:00,Heilongjiang,80,,
02/02/2020,9:00,Jiangxi,286,,
02/02/2020,9:00,Guangdong,604,,
02/02/2020,9:00,Guizhou,38,,
02/02/2020,9:00,Shanghai,177,,
02/02/2020,9:00,Shandong,206,,
02/02/2020,9:00,Guangxi Zhuang Autonomous Region,111,,
02/02/2020,9:00,Yunnan,93,,
02/02/2020,9:00,Inner Mongolia Autonomous Region,23,,
02/02/2020,9:00,Zhejiang,599,,
02/02/2020,9:00,Henan,493,,
02/02/2020,9:00,Hebei,104,,
02/02/2020,9:00,Hainan,63,,
02/02/2020,9:00,Jilin,17,,
02/02/2020,9:00,Shanxi,56,,
02/02/2020,9:00,Ningxia Hui Autonomous Region,26,,
02/02/2020,9:00,Jiangsu,202,,
02/02/2020,9:00,Xinjiang Uygur Autonomous Region,18,,
02/02/2020,9:00,Qinghai,9,,
02/02/2020,9:00,Tibet Autonomous Region,1,,
02/02/2020,18:00,Beijing,191,,
02/02/2020,18:00,Liaoning,69,,
02/02/2020,18:00,Anhui,340,,
02/02/2020,18:00,Chongqing,275,,
02/02/2020,18:00,Shaanxi,116,,
02/02/2020,18:00,Tianjin,48,,
02/02/2020,18:00,Fujian,159,,
02/02/2020,18:00,Hunan,463,,
02/02/2020,18:00,Sichuan,231,,
02/02/2020,18:00,Gansu,40,,
02/02/2020,18:00,Heilongjiang,95,,
02/02/2020,18:00,Jiangxi,333,,
02/02/2020,18:00,Guangdong,632,,
02/02/2020,18:00,Guizhou,38,,
02/02/2020,18:00,Shanghai,182,,
02/02/2020,18:00,Shandong,230,,
02/02/2020,18:00,Guangxi Zhuang Autonomous Region,111,,
02/02/2020,18:00,Yunnan,99,,
02/02/2020,18:00,Inner Mongolia Autonomous Region,27,,
02/02/2020,18:00,Zhejiang,661,,
02/02/2020,18:00,Henan,493,,
02/02/2020,18:00,Hebei,104,,
02/02/2020,18:00,Hainan,64,,
02/02/2020,18:00,Jilin,23,,
02/02/2020,18:00,Shanxi,56,,
02/02/2020,18:00,Ningxia Hui Autonomous Region,28,,
02/02/2020,18:00,Jiangsu,236,,
02/02/2020,18:00,Xinjiang Uygur Autonomous Region,21,,
02/02/2020,18:00,Qinghai,11,,
02/02/2020,18:00,Tibet Autonomous Region,1,,
02/02/2020,23:59,Hubei,11177,,
03/02/2020,9:00,Beijing,191,,
03/02/2020,9:00,Liaoning,70,,
03/02/2020,9:00,Anhui,408,,
03/02/2020,9:00,Chongqing,300,,
03/02/2020,9:00,Shaanxi,116,,
03/02/2020,9:00,Tianjin,48,,
03/02/2020,9:00,Fujian,159,,
03/02/2020,9:00,Hunan,463,,
03/02/2020,9:00,Sichuan,254,,
03/02/2020,9:00,Gansu,51,,
03/02/2020,9:00,Heilongjiang,118,,
03/02/2020,9:00,Jiangxi,391,,
03/02/2020,9:00,Guangdong,683,,
03/02/2020,9:00,Guizhou,46,,
03/02/2020,9:00,Shanghai,193,,
03/02/2020,9:00,Shandong,246,,
03/02/2020,9:00,Guangxi Zhuang Autonomous Region,127,,
03/02/2020,9:00,Yunnan,105,,
03/02/2020,9:00,Inner Mongolia Autonomous Region,27,,
03/02/2020,9:00,Zhejiang,724,,
03/02/2020,9:00,Henan,566,,
03/02/2020,9:00,Hebei,113,,
03/02/2020,9:00,Hainan,71,,
03/02/2020,9:00,Jilin,31,,
03/02/2020,9:00,Shanxi,66,,
03/02/2020,9:00,Ningxia Hui Autonomous Region,28,,
03/02/2020,9:00,Jiangsu,271,,
03/02/2020,9:00,Xinjiang Uygur Autonomous Region,24,,
03/02/2020,9:00,Qinghai,11,,
03/02/2020,9:00,Tibet Autonomous Region,1,,
03/02/2020,18:00,Beijing,212,,
03/02/2020,18:00,Liaoning,73,,
03/02/2020,18:00,Anhui,408,,
03/02/2020,18:00,Chongqing,312,,
03/02/2020,18:00,Shaanxi,128,,
03/02/2020,18:00,Tianjin,56,,
03/02/2020,18:00,Fujian,179,,
03/02/2020,18:00,Hunan,521,,
03/02/2020,18:00,Sichuan,254,,
03/02/2020,18:00,Gansu,51,,
03/02/2020,18:00,Heilongjiang,121,,
03/02/2020,18:00,Jiangxi,391,,
