District,Building name,Last date of residence of the case(s),Related probable/confirmed cases
Yuen Long,"Tower 1, La Grove",,Case 115
Tsuen Wan,Tower 1 Vision City,,Case 220
Wan Chai,Envoy Garden,,"Case 114, 213"
Southern,"Block 28, Baguio Villa",,"Case notified by the health authority of Canada and Case 117, 118"
Tuen Mun,"On Hei House, Siu Hei Court",,"Case 120, 121"
Sai Kung,Yee Ching House Yee Ming Estate,,"Case 58, 128"
Sha Tin,"Mau Lam House, Kwong Lam Court",,Case 122
Tsuen Wan ,"Tower 7, Bellagio",,"Case 123, 129"
Kwun Tong,"Block T, Telford Gardens",,Case 125
Kwun Tong,"Block 26, Phase 2, Laguna City",,"Case 126, 127"
Central & Western,"Serene Court, 35 Sai Ning Street ",,Case 132
Kwai Tsing,iPlace,,"Case 130, 131, 133, 138"
Tai Po,"Ng Tung Chai, Lam Tsuen",,Case 134
Tai Po,"Heng Tai House, Fu Heng Estate",,"Case 119, 124, 140"
Central & Western,View Villa,,Case 135
Sai Kung ,684 Clear Water Bay Road ,,Case 141
Eastern,Cornell Centre ,,Case 139
Southern,18 Stanley Main Street,,Case 136
Kwai Tsing ,Tivoli Garden,,Case 142
Wan Chai,"Block A, Tai Hang Terrace",,Case 137
Central & Western,"Kellett View Town Houses, 65 Mount Kellett Road",,"Case 147, 148"
North,"Lai Ming House, Wah Ming Estate",,Case 143
Sai Kung,The Palisades,,Case 145
Eastern,Fort Mansion,,Case 146
Kowloon City,8 Hok Ling Street,,Case 154
Central & Western,Island Shangri-La,,Case 156
Tuen Mun,"Tower 1, Oceania Heights",,Case 152
Shatin,"Block 10, Pristine Villa",,Case 153
Yau Tsim Mong,"Block A, Chungking Mansions",,Case 151
Yau Tsim Mong,Hotel ICON,,Case 150
Southern,"Wah Cheong House, Wah Fu 2 Estate",,Case 149
Wong Tai Sin,"Lung Chu House, Lung Poon Court",,Case 155
Kowloon City ,8 Hok Ling Street,,Case 228
Tai Po,"Block 16, Mayfair By The Sea",,"Case 157, 158"
Central & Western,"Emerald Garden, 86 Pok Fu Lam Road",,Case 163
Tuen Mun,"Block 4, Tuen Mun Town Plaza",,Case 161
Southern,The Redhill Peninsula,,"Case 160, 235"
Kowloon City,Hang Tak Yuen,,Case 195
Central & Western,Rich View Terrace,,"Case 177, 178"
Central & Western,3A Tregunter Path,,Case 180
Central & Western,"Seymour Place,60 Robinson Road",,Case 183
Shatin,Hong Kong Sports Institute Athletes' Hostel,,Case 172
Shatin,"Block 8, Saddle Ridge Garden ",,Case 171
Eastern,Hyatt Centric Victoria Harbour Hong Kong,,Case 169
Eastern,"Block 1, Island Resort",,"Case 186, 170"
Yau Tsim Mong,"Tower 7, the Coronation",,Case 162
Southern,"Block 47, Baguio Villa",,Case 184
Southern,"Tower 3, The Repulse Bay",,Case 226
Wong Tai Sin,"Oi Wai House, Tsz Oi Court",,Case 173
Wong Tai Sin,"Choi Wah House, Choi Fai Estate",,Case 167
Wan Chai,"Tower 2, the Zenith",,Case 168
Wan Chai,"King Cheung Mansion, 5 King Kwong Street",,Case 185
Kwun Tong,"Ying Lai House, Yau Lai Estate",,"Case 175, 176"
Kowloon City,"Hibiscus House, Ma Tau Wai Estate",,Case 242
Central & Western,20 Square Street,,Case 208
Central & Western,The Nova,,Case 251
Central & Western,1 High Street,,Case 217
Central & Western,"Tower 1, Hillsborough Court",,Case 207
Yuen Long,Pak Sha Tsuen,,Case 201
Tuen Mun,Pentahotel Hong Kong,,Case 193
Sai Kung ,Tai Mong Tsai Road ,,Case 182
Sai Kung,"Tower 2, The Capitol, Lohas Park",,"Case 205, 256"
Sai Kung ,"Kwong Ning House, Kwong Ming Court",,Case 198
Shatin,"Court B, Tower 3, Dragons Range",,Case 204
Shatin,"Tower 1, BayshoreTowers",,Case 240
Shatin,"Block C, Sunshine City",,Case 191
Yau Tsim Mong,K11 ARTUS,,Case 209
Yau Tsim Mong,26 Kimberley Road,,Case 199
Yau Tsim Mong,Imperial Hotel ,,Case 200
Yau Tsim Mong,Hang Yue Court ,,Case 192
Yau Tsim Mong,"Tower 3, Hampton Place",,"Case 174, 222"
Southern,46 Island Road,,Case 206
Tsuen Wan,"Block 5, The Summit Terrace",,Case 219
Sham Shui Po,E hotel Hong Kong ,,Case 190
Sham Shui Po,"Yee Kok Court, Yee Tai House",,Case 221
Kwai Tsing ,"Kwai On House, Kwai Fong Estate ",,Case 196
Wan Chai,Villa Monte Rosa,,Case 216
Wan Chai,70 Tin Hau Temple Road,,Case 218
Wan Chai,St. Regis Hong Kong,,"Case 230, 264"
Eastern,"Maple Mansion, Harbour View Gardens",,Case 249
Central & Western,"Evergreen Tower, Western Garden",,"Case 238, 268"
Central & Western,"Po Hing Mansion, 20 Rutter Street",,Case 245
