District,Building name,Last date of residence of the case(s),Related probable/confirmed cases
Wan Chai,"Fly Dragon Terrace, 26-32 Tin Hau Temple Road",22/2/2020,Case 70
Eastern,"Chin Hing House, Hing Wah (II) Estate",22/2/2020,Case 73
Yuen Long ,"Block 3, Grand Yoho",22/2/2020,Case 75
Eastern,"Block B, Healthy Gardens",22/2/2020,Case 86
Eastern,Majestic Apartments,23/2/2020,Case 77
Kwun Tong,"Choi Tin House, Hing Tin Estate",24/2/2020,"Case 72, 82"
Eastern,"Hong Fook Court, Bedford Gardens",24/2/2020,"Case 83, 84"
Wan Chai,"Block 4, Swiss Towers",25/2/2020,"Case 85, 90"
Eastern,"Maylun Apartments, 1-25 Shu Kuk Street",25/2/2020,"Case 74, 89, 102"
Southern,"Phase 1, The Redhill Peninsula",25/2/2020,"Case 76, 91, 103"
Wan Chai,Jolly Villa,26/2/2020,"Case 101, 104"
Sai Kung,"Block 4, Bauhinia Garden",27/2/2020,"Case 92, 95"
Eastern,Hung Fuk Building,27/2/2020,Case 93
Kwun Tong ,Hong Shui Court,29/2/2020,Case 98
Sham Shui Po,"Un Lok House, Un Chau Estate",29/2/2020,"Case 99, 100"
Wan Chai ,"Block C, Villa Lotto",5/3/2020,"Case 105, 108"
Central and Western,"Block A, Po Shan Mansion",5/3/2020,Case 106
Southern,"Scenic Villa, Scenic Villa Drive",5/3/2020,Case 107
Wan Chai,"Block 1, Swiss Towers",6/3/2020,Case 110
Kwun Tong,Sceneway Plaza (non-residential),22/2/2020,Case 82
Eastern,Ming Yuen Centre (non-residential),22/2/2020,Case 83
Central and Western,JW Marriott Hotel (non-residential),22/2/2020,"Case 85, 101, 104"
Eastern,"Tower 1, Fleur Pavilia (non-residential)",22/2/2020,"Case 85, 101, 104"
Wan Chai ,Jolly Villa  (non-residential),22/2/2020,Case 85
Eastern,Chun Yeung Street Market  (non-residential),22/2/2020,Case 86
Eastern,"Maylun Apartments, 1-25 Shu Kuk Street (non-residential)",22/2/2020,"Case 65, 70, 73, 74, 76, 77, 83, 86, 92, 93, 98, 102"
Wan Chai ,6 Cheong Ming Street (non-residential),22/2/2020,Case 85
Wan Chai,The Hong Kong Jockey Club Happy Valley Clubhouse (non-residential),23/2/2020,"Case 85, 101, 104."
Wan Chai,Royal Hong Kong Yacht Club (non-residential),23/2/2020,Case 85
Islands,23-27 Sok Kwu Wan First Street (non-residential),23/2/2020,Case 85
Sai Kung,Bauhinia Garden (non-residential),23/2/2020,Case 92
Central and Western,Crawford House (non-residential),24/2/2020,"Case 85, 90"
Wan Chai,Hong Kong Sanatorium & Hospital (non-residential),25/2/2020,"Case 76, 85, 91"
Wan Chai,25-29 Great George Street (non-residential),25/2/2020,Case 105
Eastern,Anne Black General Out-patient Clinic (non-residential),26/2/2020,Case 93
Kwun Tong ,11 Mut Wah Street (non-residential),26/2/2020,Case 98
Central and Western,Smithfield Municipal Services Building (non-residential),26/2/2020,Case 105
Central and Western,29 Queen's Road Central (non-residential),25/2/2020,Case 105
Central and Western,10 Des Voeux Road Central (non-residential),27/2/2020,Case 105
Southern,Meng Wah Complex (non-residential),29/2/2020,Case 107
Central and Western,"Block F, Greenview Gardens (non-residential)",29/2/2020,Case notified by the health authority of Thailand
Southern,"Block 28, Baguio Villa  (non-residential)",29/2/2020,Case 105 related contact tracing
Kowloon City ,5 Kent Road (non-residential),1/3/2020,"Case 105, 108"
Yau Tsim Mong,Sheraton Hong Kong Hotel & Towers (non-residential),1/3/2020,"Case 105, 108"
Wan Chai,Tung Fong Building (non-residential),2/3/2020,Case 105
Central and Western,Tung Wah Hospital (non-residential),2/3/2020,Case 105
Yau Tsim Mong,Bank of China Centre  (non-residential),2/3/2020,Case 105
Central and Western,United Centre (non-residential),2/3/2020,Case 105
Central and Western,Wellington Place (non-residential),3/3/2020,"Case 105, 108"
Wan Chai,Tang Shiu Kin Hospital (non-residential),4/3/2020,Case 105
Islands,"Lot No. 1116, Praya South, Cheung Chau (non-residential)",4/3/2020,Case 107
Islands,111D Tai Sun Back Street  (non-residential),4/3/2020,Case 107
Islands,101-103 San Hing Street (non-residential),4/3/2020,Case 107
Central and Western,Canossa Hospital (non-residential),5/3/2020,Case 106
