航班/火車/船編號,起點及終點,乘搭日期,相關疑似/確診個案
鑽石公主號,日本橫濱→香港→日本橫濱,自20/01/2020,"第14,71,78,79,80,81,87,88,94,96,97個案及日本衞生當局通報的爆發"
航班CX250,倫敦→香港,28/02/2020 (抵達香港),廣東省衛健委通報的個案
渡輪 3A109,海天客運碼頭→蛇口 ,28/02/2020,廣東省衛健委通報的個案
航班CX288,法蘭克福→香港,28/02/2020,韓國衞生當局通報的個案
航班CX438,香港→首爾,29/02/2020,韓國衞生當局通報的個案
航班 CX838,香港→溫哥華,29/02/2020,加拿大衞生當局通報的個案
的士,1. 樂陶苑→鄧肇堅醫院 2.威靈頓廣場→東華醫院,02/03/2020,第105個案
的士,1.樂陶苑→鄧肇堅醫院 2.鄧肇堅醫院→樂陶苑,03/03/2020,第105個案
航班 BA0323,巴黎→倫敦,03/03/2020,第106個案
航班 BA27,倫敦→香港,04/03/2020,第106個案
渡輪,中環→長洲,04/03/2020 上午9:45,第107個案
渡輪,長洲→中環,04/03/2020 下午1:45,第107個案
航班 TK695,開羅→伊斯坦堡,07/03/2020 (抵達伊斯坦堡),"第119,120及121個案"
航班 TK70,伊斯坦堡→香港,07/03/2020,"第119,120及121個案"
航班 CX320,馬德里→香港,08/03/2020 (抵達香港),廣東省衛健委通報的個案
的士,香港國際機場→深圳灣口岸,08/03/2020,廣東省衛健委通報的個案
