District,Building name,Last date of residence of the case(s),Related probable/confirmed cases
Sai Kung,Yee Ching House Yee Ming Estate,,"Case 58,128"
Wan Chai,Envoy Garden,,"Case 114, 213"
Southern,"Block 28, Baguio Villa",,"Case notified by the health authority of Canada and Case 117, 118"
Tai Po,"Heng Tai House, Fu Heng Estate",,"Case 119, 124, 140"
Tuen Mun,"On Hei House, Siu Hei Court",,"Case 120, 121"
Sha Tin,"Mau Lam House, Kwong Lam Court",,Case 122
Tsuen Wan,"Tower 7, Bellagio",,"Case 123, 129"
Kwun Tong,"Block T, Telford Gardens",,Case 125
Kwun Tong,"Block 26, Phase 2, Laguna City",,"Case 126, 127"
Kwai Tsing,iPlace,,"Case 130, 131,133, 138"
Central & Western,"Serene Court, 35 Sai Ning Street",,Case 132
Tai Po,"Ng Tung Chai, Lam Tsuen",,Case 134
Central & Western,View Villa,,Case 135
Southern,18 Stanley Main Street,,Case 136
Wan Chai,"Block A, Tai Hang Terrace",,Case 137
Eastern,Cornell Centre,,Case 139
Sai Kung,684 Clear Water Bay Road,,Case 141
Kwai Tsing,Tivoli Garden,,Case 142
North,"Lai Ming House, Wah Ming Estate",,Case 143
Sai Kung,The Palisades,,Case 145
Eastern,Fort Mansion,,Case 146
Central & Western,"Kellett View Town Houses, 65 Mount Kellett Road",,"Case 147, 148"
Southern,"Wah Cheong House, Wah Fu 2 Estate",,Case 149
Yau Tsim Mong,Hotel ICON,,Case 150
Yau Tsim Mong,"Block A, Chungking Mansions",,Case 151
Tuen Mun,"Tower 1, Oceania Heights",,Case 152
Shatin,"Block 10, Pristine Villa",,Case 153
Kowloon City,8 Hok Ling Street,,Case 154
Wong Tai Sin,"Lung Chu House, Lung Poon Court",,Case 155
Central & Western,Island Shangri-La,,Case 156
Tai Po,"Block 16, Mayfair By The Sea",,"Case 157, 158"
Southern,The Redhill Peninsula,,"Case 160, 235"
Tuen Mun,"Block 4, Tuen Mun Town Plaza",,Case 161
Yau Tsim Mong,"Tower 7, the Coronation",,Case 162
Central & Western,"Emerald Garden, 86 Pok Fu Lam Road",,Case 163
Wong Tai Sin,"Choi Wah House, Choi Fai Estate",,Case 167
Wan Chai,"Tower 2, the Zenith",,Case 168
Eastern,Hyatt Centric Victoria Harbour Hong Kong,,Case 169
Eastern,"Block 2, Island Resort",,Case 170
Shatin,"Block 8, Saddle Ridge Garden",,Case 171
Shatin,Hong Kong Sports Institute Athletes' Hostel,,Case 172
Wong Tai Sin,"Oi Wai House, Tsz Oi Court",,Case 173
Yau Tsim Mong,"Tower 3, Hampton Place",,"Case 174, 222"
Kwun Tong,"Ying Lai House, Yau Lai Estate",,"Case 175, 176"
Central & Western,Rich View Terrace,,"Case 177, 178"
Central & Western,3A Tregunter Path,,Case 180
Wan Chai,Sakura Court,,"Case 181, 215"
Sai Kung,Tai Mong Tsai Road,,Case 182
Central & Western,"Seymour Place,60 Robinson Road",,Case 183
Southern,"Block 47, Baguio Villa",,Case 184
Wan Chai,"King Cheung Mansion, 5 King Kwong Street",,Case 185
Eastern,"Block 1, Island Resort",,Case 186
Sham Shui Po,E hotel Hong Kong,,Case 190
Shatin,"Block C, Sunshine City",,Case 191
Yau Tsim Mong,Hang Yue Court,,Case 192
Tuen Mun,Pentahotel Hong Kong,,Case 193
Central & Western,Conway Mansion,,Case 194
Kowloon City,Hang Tak Yuen,,Case 195
Kwai Tsing,"Kwai On House, Kwai Fong Estate",,Case 196
Sai Kung,"Kwong Ning House, Kwong Ming Court",,Case 198
Yau Tsim Mong,26 Kimberley Road,,Case 199
Yau Tsim Mong,Imperial Hotel,,Case 200
Yuen Long,Pak Sha Tsuen,,Case 201
Southern,"Block 4, Repulse Bay Garden",,"Case 203, 223"
Shatin,"Court B, Tower 3, Dragons Range",,Case 204
Sai Kung,"Tower 2, The Capitol, Lohas Park",,"Case 205, 256"
Southern,46 Island Road,,Case 206
Central & Western,"Tower 1, Hillsborough Court",,Case 207
