地區,大廈名單,最後個案居住日期,相關疑似/確診個案
東區,麗宮大廈,23/02/2020,第77個案
觀塘,興田邨彩田樓,24/02/2020,"第72,82個案"
東區,書局街1-25號美輪大廈,25/02/2020,"第74,89,102個案"
南區,紅山半島第一期,25/02/2020,"第76,91,103個案"
灣仔,竹麗苑,26/02/2020,"第101,104個案"
東區,百福花園康福閣,26/02/2020,"第83,84,112個案"
灣仔,瑞士花園第4座,26/02/2020,"第85,90,113個案"
西貢,寶盈花園4座,27/02/2020,"第92,95個案"
東區,鴻福大樓,27/02/2020,第93個案
觀塘,康瑞苑,29/02/2020,第98個案
深水埗,元州邨元樂樓,29/02/2020,"第99,100個案"
灣仔,樂陶苑C座,05/03/2020,"第105,108個案"
中西區,寶城大廈A座,05/03/2020,第106個案
南區,美景徑美景臺,05/03/2020,第107個案
南區,碧瑤灣第31座,05/03/2020,第111個案
灣仔,瑞士花園第1座,06/03/2020,第110個案
灣仔,安慧苑,07/03/2020,第114個案
元朗,原築第1座,07/03/2020,第115個案
東區,書局街1-25號美輪大廈 (非住宅),23/02/2020,"第65,70,73,74,76,77,83,86,92,93,98,102個案"
灣仔,香港賽馬會跑馬地會所 (非住宅),23/02/2020,"第85,101,104個案"
灣仔,香港遊艇會 (非住宅),23/02/2020,第85個案
離島,索罟灣第一街23-27號 (非住宅),23/02/2020,第85個案
西貢,寶盈花園 (非住宅),23/02/2020,第92個案
中西區,卡佛大廈 (非住宅),24/02/2020,"第85,90個案"
灣仔,記利佐治街25-29號 (非住宅),25/02/2020,第105個案
東區,柏立基夫人普通科門診診所 (非住宅),26/02/2020,第93個案
觀塘,物華街11號 (非住宅),26/02/2020,第98個案
中西區,士美菲路市政大廈 (非住宅),26/02/2020,第105個案
中西區,皇后大道中29號 (非住宅),25/02/2020,第105個案
中西區,德輔道中10號 (非住宅),27/02/2020,第105個案
南區,明華綜合大樓 (非住宅),29/02/2020,第107個案
中西區,景翠園F座 (非住宅),29/02/2020,泰國衞生當局通報的個案
南區,碧瑤灣第28座 (非住宅),29/02/2020,第105個案接觸者追蹤
九龍城,根德道5號 (非住宅),01/03/2020,"第105,108個案"
油尖旺區,香港喜來登酒店 (非住宅),01/03/2020,"第105,108個案"
灣仔,東方大廈 (非住宅),02/03/2020,第105個案
中西區,東華醫院 (非住宅),02/03/2020,第105個案
油尖旺區,中銀中心 (非住宅),02/03/2020,第105個案
中西區,統一中心 (非住宅),02/03/2020,第105個案
中西區,威靈頓廣場 (非住宅),03/03/2020,"第105,108個案"
灣仔,鄧肇堅醫院 (非住宅),04/03/2020,第105個案
離島,長洲南海傍路1116號 (非住宅),04/03/2020,第107個案
離島,大新後街111D號 (非住宅),04/03/2020,第107個案
離島,新興街101-103號 (非住宅),04/03/2020,第107個案
中西區,嘉諾撒醫院 (非住宅),05/03/2020,第106個案
中西區,香港醫學博物館 (非住宅),05/03/2020,第110個案
灣仔,養和醫院 (非住宅),06/03/2020,"第76,85,91,110個案"
灣仔,利園一期 (非住宅),06/03/2020,第114個案
