更新日期,更新時間,國家/地區,累計確診個案數目,過去14天新增報告確診個案數目,當中累計死亡個案數目,備註
26/03/2020,10:00,阿富汗,74,70,1,
26/03/2020,10:00,阿爾巴尼亞,146,144,5,
26/03/2020,10:00,阿爾及利亞,264,247,17,
26/03/2020,10:00,安道爾,188,187,1,
26/03/2020,10:00,安哥拉,2,2,0,
26/03/2020,10:00,安提瓜和巴布達,3,3,0,
26/03/2020,10:00,阿根廷,301,284,4,
26/03/2020,10:00,亞美尼亞,265,264,0,
26/03/2020,10:00,阿魯巴,12,12,0,
26/03/2020,10:00,澳洲,2252,2140,8,
26/03/2020,10:00,奧地利,5282,5036,30,
26/03/2020,10:00,阿塞拜疆,87,78,1,
26/03/2020,10:00,巴哈馬,4,4,0,
26/03/2020,10:00,巴林,392,282,3,
26/03/2020,10:00,孟加拉,39,36,4,
26/03/2020,10:00,巴巴多斯,18,18,0,
26/03/2020,10:00,白俄羅斯,81,72,0,
26/03/2020,10:00,比利時,4269,4002,122,
26/03/2020,10:00,伯利茲,1,1,0,
26/03/2020,10:00,貝寧,5,5,0,
26/03/2020,10:00,百慕達,6,6,0,
26/03/2020,10:00,不丹,2,1,0,
26/03/2020,10:00,玻利維亞,28,26,0,
26/03/2020,10:00,波斯尼亞和黑塞哥維那,164,160,2,
26/03/2020,10:00,巴西,2201,2167,46,
26/03/2020,10:00,文萊,104,103,0,
26/03/2020,10:00,保加利亞,220,210,3,
26/03/2020,10:00,布基納法索,114,112,3,
26/03/2020,10:00,佛得角,3,3,0,
26/03/2020,10:00,柬埔寨,91,88,0,
26/03/2020,10:00,喀麥隆,72,70,1,
26/03/2020,10:00,加拿大,1739,1646,25,
26/03/2020,10:00,開曼群島,5,5,1,
26/03/2020,10:00,中非共和國,4,4,0,
26/03/2020,10:00,乍得,3,3,0,
26/03/2020,10:00,智利,922,905,2,
26/03/2020,10:00,哥倫比亞,306,303,3,
26/03/2020,10:00,剛果,4,4,0,
26/03/2020,10:00,哥斯達黎加,177,164,2,
26/03/2020,10:00,象牙海岸,72,72,0,
26/03/2020,10:00,克羅地亞,382,366,1,
26/03/2020,10:00,古巴,48,48,1,
26/03/2020,10:00,庫拉索,6,6,1,
26/03/2020,10:00,塞浦路斯,124,122,3,
26/03/2020,10:00,捷克,1394,1333,3,
26/03/2020,10:00,剛果民主共和國,45,44,2,
26/03/2020,10:00,丹麥,1591,1329,32,
26/03/2020,10:00,吉布提,3,3,0,
26/03/2020,10:00,多米尼克國,2,2,0,
26/03/2020,10:00,多米尼加共和國,312,307,6,
26/03/2020,10:00,厄瓜多爾,1049,1034,27,
26/03/2020,10:00,埃及,402,343,20,
26/03/2020,10:00,薩爾瓦多,5,5,0,
26/03/2020,10:00,赤道幾內亞,6,6,0,
26/03/2020,10:00,厄立特里亞國,1,1,0,
26/03/2020,10:00,愛沙尼亞,369,356,0,
26/03/2020,10:00,斯威士蘭,4,4,0,
26/03/2020,10:00,埃塞俄比亞,12,12,0,
26/03/2020,10:00,法羅群島,122,120,0,
26/03/2020,10:00,斐濟群島,4,4,0,
26/03/2020,10:00,芬蘭,792,752,1,
26/03/2020,10:00,法國,25233,22952,1331,
26/03/2020,10:00,法屬圭亞那,23,18,0,
26/03/2020,10:00,法屬波利尼西亞,25,25,0,
26/03/2020,10:00,加蓬,6,6,1,
26/03/2020,10:00,岡比亞,2,2,0,
26/03/2020,10:00,格魯吉亞,73,50,0,
26/03/2020,10:00,德國,31554,29987,149,
26/03/2020,10:00,加納,53,53,2,
26/03/2020,10:00,直布羅陀,15,14,0,
26/03/2020,10:00,希臘,743,654,20,
26/03/2020,10:00,格陵蘭,4,4,0,
26/03/2020,10:00,格林納達,1,1,0,
26/03/2020,10:00,瓜地洛普,73,73,0,
26/03/2020,10:00,關島,32,32,1,
26/03/2020,10:00,危地馬拉,21,21,1,
26/03/2020,10:00,根西島,23,22,0,
26/03/2020,10:00,畿內亞,4,4,0,
26/03/2020,10:00,圭亞那,5,5,1,
26/03/2020,10:00,海地,7,7,0,
26/03/2020,10:00,教廷,1,0,0,
26/03/2020,10:00,洪都拉斯,30,30,0,
