航班/火車/船編號,起點及終點,乘搭日期,相關疑似/確診個案
"航班 CX838 (座位編號:商務艙15D,商務艙15G)",香港→溫哥華,06/03/2020,第157及158個案
航班 TK695 (座位編號:未知),開羅→伊斯坦堡,7/3/2020 (抵達伊斯坦堡),第119至121、123至127及129個案
航班 TK70 (座位編號:14ABDEFGJK及9J),伊斯坦堡→香港,07/03/2020,第119至121、123至127及129個案
航班 CX320 (座位編號:65C),馬德里→香港,8/3/2020 (抵達香港),廣東省衞健委通報的個案及第122個案
航班 CX930 (座位編號:48C),馬尼拉→香港,08/03/2020,第132個案
航班 CX250 (座位編號:未知),倫敦→香港,8/3/2020 (抵達香港),第134個案
"航班 HV5760 (座位編號:29E, 22D)",摩洛哥→阿姆斯特丹,08/03/2020,第137及142個案
航班 QR818 (座位編號:未知),多哈→香港,08/03/2020,第174個案
航班 CX857 (座位編號:40C),西雅圖→香港,9/3/2020 (抵達香港),國家衞健委通報的個案
航班 KA900 (座位編號:23C),香港→北京,09/03/2020,國家衞健委通報的個案
"航班 KL887 (座位編號:11K, 10G)",阿姆斯特丹→香港,9/3/2020 (抵達香港),第137及142個案
航班 CX260 (座位編號:70E),巴黎→香港,10/3/2020 (抵達香港),廣東省衞健委通報的個案
"航班 NH811 (座位編號:38C,後期轉位至39C)",東京→香港,10/3/2020 (抵達香港),第136個案及一宗日本確診個案
航班 CX845 (座位編號:70C),紐約→香港,10/3/2020 (抵達香港),新加坡衞生當局通報的個案
航班 CX759 (座位編號:47H),香港→新加坡,10/03/2020,新加坡衞生當局通報的個案
"航班 CX171 (座位編號:20K,後期轉位至21K)",香港→珀斯,10/03/2020,澳洲衞生當局通報的個案
"航班 CX811 (座位編號:商務艙23K,商務艙24K和機組人員)",波士頓→香港,10/3/2020 (抵達香港),第147、148及167個案
航班 EK380 (座位編號:未知),杜拜→香港,10/03/2020,第151個案
航班 HX782 (座位編號:39C),馬尼拉→香港,11/3/2020 (抵達香港),廣東省衞健委通報的個案
航班 EK142 (座位編號:商務艙6K),馬德里→杜拜,11/3/2020 (抵達杜拜),第139個案
航班 EK380 (座位編號:商務艙6K),杜拜→香港,11/03/2020,第139個案
航班 BA31 (座位編號:14E),倫敦→香港,11/3/2020 (抵達香港),第141個案
航班 JL2504 (座位編號:未知),北海道→大阪,11/03/2020,第143及153個案
"航班 CX561 (座位編號:42A, 42B)",大阪→香港,11/3/2020 (抵達香港),第143及153個案
航班 CX320 (座位編號:商務艙機組人員),馬德里→香港,11/3/2020 (抵達香港),第161個案
航班 LX138 (座位編號:14A),蘇黎世→香港,11/3/2020 (抵達香港),第168個案
航班 QR818 (座位編號:未知),杜拜→香港,11/03/2020,第186個案
航班 LH119 (座位編號:9C),慕尼黑→法蘭克福,12/03/2020,第144個案
航班 CX238 (座位編號:未知),倫敦→香港,12/3/2020 (抵達香港),第170個案
航班 CX252 (座位編號:頭等艙2A),倫敦→香港,12/3/2020 (抵達香港),第206個案
"航班 CX260 (座位編號:47A, 59D, 62A)",巴黎→香港,13/3/2020 (抵達香港),第145、146及159個案
航班 CX698 (座位編號:20K),新德里→香港,13/3/2020 (抵達香港),第184個案
航班 CX902 (座位編號:20D),馬尼拉→香港,13/3/2020 (抵達香港),廣東省衞健委通報的個案
"航班 LH796 (座位編號:46G, 81K)",法蘭克福→香港,13/3/2020 (抵達香港),第144個案及廣東省衞健委通報的個案
航班 EK380 (座位編號:31J),杜拜→香港,13/3/2020 (抵達香港),澳門特別行政區衛生局通報的個案
航班 BA0953 (座位編號:未知),慕尼黑→倫敦,13/03/2020,第154個案
航班 QR818 (座位編號:23E),多哈→香港,13/03/2020,第196個案
航班 MS960 (座位編號:44),開羅→曼谷→香港,14/3/2020 (抵達香港),第152個案
航班 BA0027 (座位編號:未知),倫敦→香港,14/03/2020,第154個案
航班 CX382 (座位編號:22A),蘇黎世→香港,14/3/2020 (抵達香港),廣東省衞健委通報的個案
航班 KA5930 (座位編號:61D),馬尼拉→香港,14/3/2020 (抵達香港),廣東省衞健委通報的個案
航班 CX857 (座位編號:43K),西雅圖→香港,14/3/2020 (抵達香港),廣東省衞健委通報的個案
航班 BA0733 (座位編號:未知),日內瓦→倫敦,14/03/2020,第160個案
"航班 UO754 (座位編號:8B, 8E)",清邁→香港,14/03/2020,第175及176個案
航班 CX270 (座位編號:31C),荷蘭→香港,15/3/2020 (抵達香港),第150個案
"航班 CX837 (座位編號:商務艙15D,商務艙15G)",溫哥華→香港,15/3/2020 (抵達香港),第157及158個案
"航班 BA0033 (座位編號:31B, 37C)",倫敦→吉隆坡,15/3/2020 (抵達吉隆坡),第160及164個案
航班 MH78 (座位編號:17C),吉隆坡→香港,15/03/2020,第160個案
航班 QR160 (座位編號:未知),哥本哈根→多哈,15/03/2020,第165個案
"航班 CX256 (座位編號:21A, 47B)",倫敦→香港,15/3/2020 (抵達香港),第171及181個案
航班 TG600 (座位編號:未知),曼谷→香港,15/03/2020,第172個案
航班 BA0027 (座位編號:14A),倫敦→香港,15/3/2020 (抵達香港),第180個案
航班 LH796 (座位編號:46G),法蘭克福→香港,15/3/2020 (抵達香港),廣東省衞健委通報的個案
航班 HX782 (座位編號:42E),馬尼拉→香港,15/3/2020 (抵達香港),廣東省衞健委通報的個案
航班 LH796 (座位編號:8C),法蘭克福→香港,15/3/2020 (抵達香港),廣東省衞健委通報的個案
航班 KA734 (座位編號:63K),吉隆坡→香港,16/03/2020,澳門特別行政區衛生局通報的個案
航班CX5734 (座位編號:23G),吉隆坡→香港,16/03/2020,第164個案
航班 QR818 (座位編號:商務艙24E),多哈→香港,16/03/2020,第165個案
"航班 BA0027 (座位編號:42J,商務艙57K)",倫敦→香港,16/3/2020 (抵達香港),第166及190個案
航班 CX702 (座位編號:44E),曼谷→香港,16/3/2020 上午01:54 (抵達香港),"第177,178及200個案"
航班 MH78 (座位編號:30F),吉隆坡→香港,16/03/2020,第185個案
航班 LX138 (座位編號:43A),蘇黎世→香港,16/3/2020 (抵達香港),第193個案
航班 HX782 (座位編號:41K),馬尼拉→香港,16/03/2020,澳門特別行政區衛生局通報的個案
航班 LX138 (座位編號:43A),蘇黎世→香港,16/3/2020 (抵達香港),第193個案
航班 CX845 (座位編號:59B),紐約→香港,16/3/2020 (抵達香港),第203個案
航班 EK380 (座位編號:50B),杜拜→香港,16/03/2020,第207個案及廣東省衞健委通報的個案
航班SQ856 (座位編號:40B),新加坡→香港,16/03/2020,廣東省衞健委通報的個案
航班 JL29 (座位編號:46K),東京→香港,17/03/2020,第179個案
航班 CX250 (座位編號:未知),倫敦→香港,17/3/2020 (抵達香港),第187個案
"航班 BI635 (座位編號:35A, 35B)",汶萊→香港,17/03/2020,第188及189個案
航班 CX718 (座位編號:47F),雅加達→香港,17/03/2020,澳門特別行政區衛生局通報的個案
航班 SQ860 (座位編號:46B),新加坡→香港,17/03/2020,第198個案
航班 CX881 (座位編號:商務艙25D),洛杉磯→香港,17/3/2020 (抵達香港),第204個案
航班 CX829 (座位編號:65H),多倫多→香港,17/3/2020 (抵達香港),第205個案
航班 SQ856 (座位編號:16F),新加坡→香港,17/03/2020,廣東省衞健委通報的個案
航班 CX718 (座位編號:47F),雅加達→香港,17/03/2020,澳門特別行政區衛生局通報的個案
航班 CX807 (座位編號:42A),芝加哥→香港,17/3/2020 (抵達香港),廣東省衞健委通報的個案
航班 CX748 (座位編號:68D),約翰內斯堡→香港,18/3/2020 (抵達香港),第197個案
航班 CX320 (座位編號:60J),馬德里→香港,18/3/2020 (抵達香港),第202個案
航班 CX288 (座位編號:2A),法蘭克福→香港,18/3/2020 (抵達香港),第209個案
鑽石公主號,日本橫濱→香港→日本橫濱,自20/1/2020,第14、71、78、79、80、81、87、88、94、96、97個案及日本衞生當局通報的爆發
的士,香港國際機場→深圳灣口岸,08/03/2020,廣東省衞健委通報的個案
的士,香港國際機場→西寧街35號西寧閣,08/03/2020,第132個案
的士,香港國際機場→林村梧桐寨,8/3/2020下午1:30,第134個案
渡輪,中環→長洲,10/3/2020上午7:40,第123個案
的士 UF1749,香港國際機場→深圳灣口岸,10/03/2020,廣東省衞健委通報的個案
的士,iPlace→瑪嘉烈醫院,10/3/2020 (下午5:45到達瑪嘉烈醫院),第130及131個案
的士,瑪嘉烈醫院→iPlace,10/3/2020晚上9時,第131個案
的士,瑪麗醫院→西寧街35號西寧閣,11/3/2020下午1:15及12/3/2020上午11:00,第132個案
