航班/火車/船編號,起點及終點,乘搭日期,相關疑似/確診個案
鑽石公主號,日本橫濱→香港→日本橫濱,自20/01/2020,第14、71、78、79、80、81、87、88、94、96、97個案及日本衞生當局通報的爆發
航班CX438,香港→首爾,29/02/2020,韓國衞生當局通報的個案
航班 CX838,香港→溫哥華,29/02/2020,加拿大衞生當局通報的個案
航班 CX250,倫敦→香港,29/02/2020 (抵達香港),泰國衞生當局通報的個案、第114、130、131及133個案
的士,香港國際機場→iPlace,29/02/2020,第130、131及133個案
的士,1. 樂陶苑→鄧肇堅醫院 2. 威靈頓廣場→東華醫院,02/03/2020,第105個案
的士,1.樂陶苑→鄧肇堅醫院 2. 鄧肇堅醫院→樂陶苑,03/03/2020,第105個案
航班 BA0323,巴黎→倫敦,03/03/2020,第106個案
航班 BA27,倫敦→香港,04/03/2020,第106個案
渡輪,中環→長洲,04/03/2020 上午9:45,第107個案
渡輪,長洲→中環,04/03/2020 下午1:45,第107個案
航班 TK695,開羅→伊斯坦堡,07/03/2020 (抵達伊斯坦堡),第119至121、123至127及129個案
航班 TK70,伊斯坦堡→香港,07/03/2020,第119至121、123至127及129個案
航班 CX320,馬德里→香港,08/03/2020 (抵達香港),廣東省衞健委通報的個案及第122個案
的士,香港國際機場→深圳灣口岸,08/03/2020,廣東省衞健委通報的個案
航班 CX930,馬尼拉→香港,08/03/2020,第132個案
的士,香港國際機場→西寧街35號西寧閣,08/03/2020,第132個案
航班 CX250,倫敦→香港,08/03/2020 (抵達香港),第134個案
的士,香港國際機場→林村梧桐寨,08/03/2020 下午1:30,第134個案
航班 HV5760,摩洛哥→阿姆斯特丹,08/03/2020,"第137,142個案"
航班 CX857,西雅圖→香港,09/03/2020 (抵達香港),國家衞健委通報的個案
航班 KA900,香港→北京,09/03/2020,國家衞健委通報的個案
航班 KL887,阿姆斯特丹→香港,09/03/2020 (抵達香港),"第137,142個案"
渡輪,中環→長洲,10/03/2020 上午7:40,第123個案
航班 CX260,巴黎→香港,10/03/2020 (抵達香港),廣東省衞健委通報的個案
的士 UF1749,香港國際機場→深圳灣口岸,10/03/2020,廣東省衞健委通報的個案
的士,iPlace→瑪嘉烈醫院,10/03/2020 (下午5:45到達瑪嘉烈醫院),第130及131個案
的士,瑪嘉烈醫院→iPlace,10/03/2020 晚上9時,第131個案
航班 NH811,東京→香港,10/3/2020 (抵達香港),第136個案及一宗日本確診個案
航班 CX845,紐約→香港,10/3/2020 (抵達香港),新加坡衞生當局通報的個案
航班 CX759,香港→新加坡,10/03/2020,新加坡衞生當局通報的個案
航班 CX171,香港→珀斯,10/03/2020,澳洲衞生當局通報的個案
航班 HX782,馬尼拉→香港,11/3/2020 (抵達香港),廣東省衞健委通報的個案
的士,瑪麗醫院→西寧街35號西寧閣,11/3/2020下午1:15及12/3/2020上午11:00,第132個案
航班 EK142,馬德里→杜拜,11/3/2020 (抵達杜拜),第139個案
航班 EK380,杜拜→香港,11/03/2020,第139個案
航班 BA31,倫敦→香港,11/3/2020 (抵達香港),第141個案
