As of date,As of time,Countries/areas,Cumulative number of confirmed cases,Number of newly confirmed cases reported in the past 14 days,Cumulative number of deaths among confirmed cases,Remark
26/03/2020,10:00,Mayotte,30,30,0,
26/03/2020,10:00,Mexico,370,363,4,
26/03/2020,10:00,Monaco,23,22,0,
26/03/2020,10:00,Mongolia,10,9,0,
26/03/2020,10:00,Montenegro,29,29,0,
26/03/2020,10:00,Montserrat,1,1,0,
26/03/2020,10:00,Morocco,170,167,5,
26/03/2020,10:00,Mozambique,3,3,0,
26/03/2020,10:00,Myanmar,3,3,0,
26/03/2020,10:00,Namibia,4,4,0,
26/03/2020,10:00,Nepal,2,1,0,
26/03/2020,10:00,Netherlands,5560,5057,276,
26/03/2020,10:00,New Caledonia,10,10,0,
26/03/2020,10:00,New Zealand,189,184,0,
26/03/2020,10:00,Nicaragua,2,2,0,
26/03/2020,10:00,Niger,2,2,0,
26/03/2020,10:00,Nigeria,42,40,0,
26/03/2020,10:00,North Macedonia,148,141,2,
26/03/2020,10:00,Norway,2566,2289,10,
26/03/2020,10:00,Oman,99,81,0,
26/03/2020,10:00,Pakistan,991,975,7,
26/03/2020,10:00,Palestine,60,34,0,
26/03/2020,10:00,Panama,345,337,6,
26/03/2020,10:00,Papua New Guinea,1,1,0,
26/03/2020,10:00,Paraguay,27,19,2,
26/03/2020,10:00,Peru,416,405,5,
26/03/2020,10:00,Philippines,552,503,35,
26/03/2020,10:00,Poland,901,879,10,
26/03/2020,10:00,Portugal,2362,2321,33,
26/03/2020,10:00,Puerto Rico,39,39,2,
26/03/2020,10:00,Qatar,526,264,0,
26/03/2020,10:00,Republic of Moldova,125,122,1,
26/03/2020,10:00,Réunion,83,83,0,
26/03/2020,10:00,Romania,762,747,11,
26/03/2020,10:00,Russia,658,651,0,
26/03/2020,10:00,Rwanda,40,40,0,
26/03/2020,10:00,Saint Barthélemy,3,2,0,
26/03/2020,10:00,Saint Lucia,3,3,0,
26/03/2020,10:00,Saint Martin,8,6,0,
26/03/2020,10:00,Saint Vincent and the Grenadines,1,1,0,
26/03/2020,10:00,San Marino,187,124,21,
26/03/2020,10:00,Saudi Arabia,767,747,1,
26/03/2020,10:00,Senegal,86,82,0,
26/03/2020,10:00,Serbia,303,291,3,
26/03/2020,10:00,Seychelles,7,7,0,
26/03/2020,10:00,Singapore,564,386,2,
26/03/2020,10:00,Sint Maarten,2,2,0,
26/03/2020,10:00,Slovakia,204,197,0,
26/03/2020,10:00,Slovenia,480,449,3,
26/03/2020,10:00,Somalia,1,1,0,
26/03/2020,10:00,South Africa,554,547,0,
26/03/2020,10:00,Spain,47610,45470,3434,
26/03/2020,10:00,Sri Lanka,102,101,0,
26/03/2020,10:00,Sudan,3,3,1,
26/03/2020,10:00,Suriname,6,6,0,
26/03/2020,10:00,Sweden,2272,1946,36,
26/03/2020,10:00,Switzerland,8789,8144,86,
26/03/2020,10:00,Syrian Arab Republic,1,1,0,
26/03/2020,10:00,Taiwan,235,187,2,
26/03/2020,10:00,Thailand,934,875,4,
26/03/2020,10:00,Timor-Leste,1,1,0,
26/03/2020,10:00,Togo,20,19,0,
26/03/2020,10:00,Trinidad and Tobago,57,57,0,
26/03/2020,10:00,Tunisia,114,108,3,
26/03/2020,10:00,Turkey,1872,1872,44,
26/03/2020,10:00,Turks and Caicos Islands,1,1,0,
26/03/2020,10:00,Uganda,9,9,0,
26/03/2020,10:00,Ukraine,113,112,4,
26/03/2020,10:00,United Arab Emirates,248,174,2,
26/03/2020,10:00,United Kingdom,9529,9073,463,
26/03/2020,10:00,United Republic of Tanzania,12,12,0,
26/03/2020,10:00,United States of America,54453,53515,737,Excluding persons repatriated to the United States by chartered flight: 46 cases (Diamond Princess Cruise ship) and 3 cases (Wuhan)
26/03/2020,10:00,United States Virgin Islands,17,17,0,
26/03/2020,10:00,Uruguay,162,162,0,
26/03/2020,10:00,Uzbekistan,50,50,0,
26/03/2020,10:00,Venezuela (Bolivarian Republic of),77,77,0,
26/03/2020,10:00,Viet Nam,134,99,0,
26/03/2020,10:00,Zambia,3,3,0,
26/03/2020,10:00,Zimbabwe,2,2,1,
