編號 No.,區 District,地址 Address,家居檢疫最後日期 End Date of Home Quarantine Order
1,中西區 Central & Western,"士美菲路73號嘉輝花園C座
BLOCK C, SMITHFIELD TERRACE, NO.73 SMITHFIELD",3/3/2020
2,中西區 Central & Western,"中環亞畢諾道2號
2 ARBUTHNOT ROAD, CENTRAL",3/3/2020
3,中西區 Central & Western,"水坑口街26號
NO.26 POSSESSION STREET",3/3/2020
4,中西區 Central & Western,"石塘咀和合街1-3號金陵閣
KAM LING COURT, NO.1-3 WOO HOP STREET, SHEK TONG TSUI",3/3/2020
5,中西區 Central & Western,"地利根德里14號地利根德閣3座
BLOCK 3, TREGUNTER, NO.14 TREGUNTER PATH",3/3/2020
6,中西區 Central & Western,"西源里22號
NO.22 SAI YUEN LANE",3/3/2020
7,中西區 Central & Western,"卑路乍街11號海都樓A座
BLOCK A, HOI TAO BUILDING, NO.11 BELCHER'S STREET",3/3/2020
8,中西區 Central & Western,"卑路乍街7號海都樓C座
BLOCK C, HOI TAO BUILDING, NO.7 BELCHER'S STREET",3/3/2020
9,中西區 Central & Western,"卑路乍街9號海都樓B座
BLOCK B, HOI TAO BUILDING, NO.9 BELCHER'S STREET",3/3/2020
10,中西區 Central & Western,"東利大樓A座
BLOCK A, TUNG LEE MANSION",3/3/2020
11,中西區 Central & Western,"東邊街1-3號
NO.1-3 EASTERN STREET",3/3/2020
12,中西區 Central & Western,"恆裕大廈
HANG YUE BUILDING",3/3/2020
13,中西區 Central & Western,"海光大廈
HAI KWANG MANSION",3/3/2020
14,中西區 Central & Western,"偉安樓
WAI ON HOUSE",3/3/2020
15,中西區 Central & Western,"得利大廈
TAK LEE BUILDING",3/3/2020
16,中西區 Central & Western,"第三街163號廣豐臺2座
BLOCK 2, KWONG FUNG TERRACE, NO.163 THIRD STREET",3/3/2020
17,中西區 Central & Western,"普慶大廈
PO HING MANSION",3/3/2020
18,中西區 Central & Western,"萬和閣
HARMONY COURT",3/3/2020
19,中西區 Central & Western,"裕豐花園
RICHSUN GARDEN",3/3/2020
20,中西區 Central & Western,"翠華閣
JADE COURT",3/3/2020
21,中西區 Central & Western,"豪景臺
RICH VIEW TERRACE",3/3/2020
22,中西區 Central & Western,"德輔道西363號
NO.363 DES VOEUX ROAD WEST",3/3/2020
23,中西區 Central & Western,"聯康新樓
LUEN HONG APARTMENTS",3/3/2020
24,中西區 Central & Western,"巴丙頓山
BABINGTON HILL",4/3/2020
25,中西區 Central & Western,"些利閣
SHELLEY COURT",4/3/2020
26,中西區 Central & Western,"和合街1-3號金陵閣
KAM LING COURT, NO.1-3 WOO HOP STREET",4/3/2020
27,中西區 Central & Western,"昌裕大廈
CHEONG YUE MANSION",4/3/2020
28,中西區 Central & Western,"金融街8號
8 FINANCE STREET",4/3/2020
29,中西區 Central & Western,"冠南樓
KOON NAM HSE",4/3/2020
30,中西區 Central & Western,"冠華大廈
KOON WAH BUILDING",4/3/2020
31,中西區 Central & Western,"建益大樓
KIN YICK MANSION",4/3/2020
32,中西區 Central & Western,"恆裕大廈
HANG YUE BUILDING",4/3/2020
33,中西區 Central & Western,"皇后大道西409號怡景花園1座
BLOCK 1, ELEGANT GARDEN, NO.409 QUEEN'S ROAD WEST",4/3/2020
34,中西區 Central & Western,"美蘭閣
MIDLAND COURT",4/3/2020
35,中西區 Central & Western,"香港大學學生宿舍三村C座
",4/3/2020
36,中西區 Central & Western,"堅尼地城新海旁38號泓都2座
BLOCK 2, THE MERTON, NO.38 NEW PRAYA KENNEDY TOWN",4/3/2020
37,中西區 Central & Western,"得富大廈
YICK FUNG BUILDING",4/3/2020
38,中西區 Central & Western,"荷李活道108號聚賢居1座
BLOCK 1, CENTRESTAGE, NO.108 HOLLYWOOD ROAD",4/3/2020
39,中西區 Central & Western,"興華樓
HING WAH HOUSE",4/3/2020
40,中西區 Central & Western,"寶雲山莊
FAIRLANE TOWER",4/3/2020
41,中西區 Central & Western,"士美菲路77號嘉輝花園A座
BLOCK A, SMITHFIELD TERRACE, NO.77 SMITHFIELD",5/3/2020
42,中西區 Central & Western,"干德道22號慧豪閣2座
BLOCK 2, VANTAGE PARK, NO.22 CONDUIT ROAD",5/3/2020
43,中西區 Central & Western,"仁愛苑
YEN OI GARDEN",5/3/2020
44,中西區 Central & Western,"永華大廈
WING WAH MANSION",5/3/2020
45,中西區 Central & Western,"合隆大廈
HA LUNG BUILDING",5/3/2020
46,中西區 Central & Western,"俊賢閣
INTELLIGENT COURT",5/3/2020
47,中西區 Central & Western,"香港大學柏立基學院
SIR ROBERT BLACK COLLEGE, THE UNIVERSITY OF HONG KONG",5/3/2020
48,中西區 Central & Western,"香港大學柏立基學院逸東樓
YAT TUNG HOUSE, SIR ROBERT BLACK COLLEGE, THE UNIVERSITY OF HONG KONG",5/3/2020
49,中西區 Central & Western,"家安大廈
GRACE MANSION",5/3/2020
50,中西區 Central & Western,"高陞大廈
KOOSING BUILDING",5/3/2020
51,中西區 Central & Western,"第二街128號海昇大廈2座
BLOCK 2, HOI SING BUILDING, NO.128 SECOND STREET",5/3/2020
52,中西區 Central & Western,"雪廠街32-38號
32-38 ICE HOUSE STREET",5/3/2020
53,中西區 Central & Western,"華利樓
WAH LEE BUILDING",5/3/2020
54,中西區 Central & Western,"嘉輝花園A座
BLOCK A, SMITHFIELD TERRACE",5/3/2020
55,中西區 Central & Western,"歌賦山里
GOUGH HILL PATH",5/3/2020
56,中西區 Central & Western,"歌賦山道
GOUGH HILL ROAD",5/3/2020
57,中西區 Central & Western,"碧林閣
POKFULAM COURT",5/3/2020
58,中西區 Central & Western,"德輔道西406A號
NO.406A DES VOEUX ROAD WEST",5/3/2020
59,中西區 Central & Western,"摩羅上街28號
NO.28 UPPER LASCAR ROW",5/3/2020
60,中西區 Central & Western,"曉暉大廈
SUNGLOW BUILDING",5/3/2020
61,中西區 Central & Western,"龍豐閣
LUN FUNG COURT",5/3/2020
62,中西區 Central & Western,"寶泰大廈
PO THAI BUILDING",5/3/2020
63,中西區 Central & Western,"觀龍樓1座
BLOCK 1, KWUN LUNG LAU",5/3/2020
64,中西區 Central & Western,"LEXINGTON HILL
",6/3/2020
65,中西區 Central & Western,"九如坊3號
3 KAU U FONG",6/3/2020
66,中西區 Central & Western,"永華大廈
WING WAH MANSION",6/3/2020
67,中西區 Central & Western,"和合街1-3號金陵閣A座
BLOCK A, KAM LING COURT, NO.1-3 WOO HOP STREET",6/3/2020
68,中西區 Central & Western,"皇后大道西367號
NO.367 QUEEN'S ROAD WEST",6/3/2020
69,中西區 Central & Western,"皇后大道西421號華明中心A座
BLOCK A, WAH MING CENTRE, NO.421 QUEEN'S ROAD WEST",6/3/2020
70,中西區 Central & Western,"香港大學柏立基學院
SIR ROBERT BLACK COLLEGE, THE UNIVERSITY OF HONG KONG",6/3/2020
71,中西區 Central & Western,"夏蕙苑
SAVOY COURT",6/3/2020
72,中西區 Central & Western,"雅蘭閣
ORLINS COURT",6/3/2020
73,中西區 Central & Western,"毓明閣1座
BLOCK 1, YUK MING TOWERS",6/3/2020
74,中西區 Central & Western,"德輔道西228號
NO.228 DES VOEUX ROAD WEST",6/3/2020
75,中西區 Central & Western,"德輔道西343號均益大廈第二期B座
BLOCK B, PHASE II, KWAN YICK BUILDING, NO.343 DES VOEUX ROAD WEST",6/3/2020
76,中西區 Central & Western,"IMPERIAL KENNEDY
",7/3/2020
77,中西區 Central & Western,"大新閣
SUN COURT",7/3/2020
78,中西區 Central & Western,"干諾道西155號高樂花園3座
BLOCK 3, CONNAUGHT GARDEN, NO.155 CONNAUGHT ROAD WEST",7/3/2020
79,中西區 Central & Western,"干諾道西16號
16 CONNAUGHT ROAD WEST",7/3/2020
80,中西區 Central & Western,"兆宜大廈
SIU YEE BUILDING",7/3/2020
81,中西區 Central & Western,"如意樓
YU YEE BUILDING",7/3/2020
82,中西區 Central & Western,"卑路乍街13號珍珠閣A座
BLOCK A, PEARL COURT, NO.13 BELCHER'S STREET",7/3/2020
83,中西區 Central & Western,"東利大樓B座
BLOCK B, TUNG LEE MANSION",7/3/2020
84,中西區 Central & Western,"金庭居
GOLDEN PAVILION",7/3/2020
85,中西區 Central & Western,"青蓮閣
CHING LIN COURT",7/3/2020
86,中西區 Central & Western,"保德街1-7號
NO.1-7 PO TUCK STREET",7/3/2020
87,中西區 Central & Western,"皇后街1號帝后華庭2座
BLOCK 2, QUEEN'S TERRACE, NO.1 QUEEN STREET",7/3/2020
88,中西區 Central & Western,"皇后街1號帝后華庭3座
BLOCK 3, QUEEN'S TERRACE, NO.1 QUEEN STREET",7/3/2020
89,中西區 Central & Western,"海都樓C座
",7/3/2020
90,中西區 Central & Western,"高陞大廈
KO SHING BUILDING",7/3/2020
91,中西區 Central & Western,"堅尼地城海旁20號益豐花園B座
BLOCK B, YICK FUNG GARDEN, NO.20 PRAYA KENNEDY TOWN",7/3/2020
92,中西區 Central & Western,"梅苑1座
MAY TOWER I",7/3/2020
93,中西區 Central & Western,"荷李活道52號
NO.52 HOLLYWOOD ROAD",7/3/2020
94,中西區 Central & Western,"惠苑
WAI YUEN MANSION",7/3/2020
95,中西區 Central & Western,"華冠大廈
WAH KOON BUILDING",7/3/2020
96,中西區 Central & Western,"滙豪閣
WINSOME PARK",7/3/2020
97,中西區 Central & Western,"嘉利大廈
GARLEY BUILDING",7/3/2020
98,中西區 Central & Western,"榮華里10號榮華大廈B座
BLOCK B, WINNER BUILDING, NO.10 WING WAH LANE",7/3/2020
99,中西區 Central & Western,"豪華大廈C座
BLOCK C, HOOVER MANSION",7/3/2020
100,中西區 Central & Western,"德輔道西160號
160 DES VOEUX ROAD WEST",7/3/2020
101,中西區 Central & Western,"德輔道西343號均益大廈第二期
PHASE II, KWAN YICK BUILDING, NO.343 DES VOEUX ROAD WEST",7/3/2020
102,中西區 Central & Western,"樂欣大廈
RYAN MANSION",7/3/2020
103,中西區 Central & Western,"澤安閣
CHESTER COURT",7/3/2020
104,中西區 Central & Western,"賴恩樓
LAI YAN LAU",7/3/2020
105,中西區 Central & Western,"錦明閣
KING MING MANSION",7/3/2020
106,中西區 Central & Western,"龍華街20號觀龍樓E座
BLOCK E, KWUN LUNG LAU, NO.20 LUNG WAH STREET",7/3/2020
107,中西區 Central & Western,"薄扶林道101號學士臺2座
BLOCK 2, ACADEMIC TERRACE, NO.101 POK FU LAM ROAD",7/3/2020
108,中西區 Central & Western,"薄扶林道89號寶翠園5座
BLOCK 5, THE BELCHER'S, NO.89 POK FU LAM ROAD",7/3/2020
109,中西區 Central & Western,"THE MAYFAIR
",8/3/2020
110,中西區 Central & Western,"干諾道西155號高樂花園2座
BLOCK 2, CONNAUGHT GARDEN, NO.155 CONNAUGHT ROAD WEST",8/3/2020
111,中西區 Central & Western,"永多樓
WING TO BUILDING",8/3/2020
112,中西區 Central & Western,"永興樓
WING HING HOUSE",8/3/2020
113,中西區 Central & Western,"生昌大廈
SANG CHEONG BUILDING",8/3/2020
114,中西區 Central & Western,"再發大廈
JOY FAT HOUSE",8/3/2020
115,中西區 Central & Western,"安泰街7號康威花園
HONGWAY GARDEN, NO.7 ON TAI STREET",8/3/2020
116,中西區 Central & Western,"西浦
SOHO 189",8/3/2020
117,中西區 Central & Western,"西祥街2號寶翠閣B座
BLOCK B, BELCHER COURT, NO.2 SAI CHEUNG STREET",8/3/2020
118,中西區 Central & Western,"均益大廈第一期
PHASE I, KWAN YICK BUILDING",8/3/2020
119,中西區 Central & Western,"明發大廈
MING FAT BUILDING",8/3/2020
120,中西區 Central & Western,"東南大廈
TONG NAM MANSION",8/3/2020
121,中西區 Central & Western,"南里8號
NO.8 SOUTH LANE",8/3/2020
122,中西區 Central & Western,"厚福大樓
HAU FOOK BUILDING",8/3/2020
123,中西區 Central & Western,"皇后大道西242-244號
NO.242-244 QUEEN'S ROAD WEST",8/3/2020
124,中西區 Central & Western,"皇后大道西409號怡景花園2座
BLOCK 2, ELEGANT GARDEN, NO.409 QUEEN'S ROAD WEST",8/3/2020
125,中西區 Central & Western,"皇后大道西421號華明中心B座
BLOCK B, WAH MING CENTRE, NO.421 QUEEN'S ROAD WEST",8/3/2020
126,中西區 Central & Western,"皇后街1號帝后華庭2座
BLOCK 2, QUEEN'S TERRACE, NO.1 QUEEN STREET",8/3/2020
127,中西區 Central & Western,"海景大廈
SEA VIEW MANSION",8/3/2020
128,中西區 Central & Western,"高街17號
NO.17 HIGH STREET",8/3/2020
129,中西區 Central & Western,"麥當勞道1號
1 MACDONNELL ROAD",8/3/2020
130,中西區 Central & Western,"普頓臺
PRINCETON TOWER",8/3/2020
131,中西區 Central & Western,"景賜大廈
KING'S BUILDING",8/3/2020
