編號 No.,區 District,地址 Address,家居檢疫最後日期 End Date of Home Quarantine Order
1,中西區 Central & Western,"LEXINGTON HILL
",06/03/2020
2,中西區 Central & Western,"九如坊3號
3 KAU U FONG",06/03/2020
3,中西區 Central & Western,"永華大廈
WING WAH MANSION",06/03/2020
4,中西區 Central & Western,"和合街1-3號金陵閣A座
BLOCK A, KAM LING COURT, NO.1-3 WOO HOP STREET",06/03/2020
5,中西區 Central & Western,"皇后大道西367號
NO.367 QUEEN'S ROAD WEST",06/03/2020
6,中西區 Central & Western,"皇后大道西421號華明中心A座
BLOCK A, WAH MING CENTRE, NO.421 QUEEN'S ROAD WEST",06/03/2020
7,中西區 Central & Western,"香港大學柏立基學院
SIR ROBERT BLACK COLLEGE, THE UNIVERSITY OF HONG KONG",06/03/2020
8,中西區 Central & Western,"夏蕙苑
SAVOY COURT",06/03/2020
9,中西區 Central & Western,"雅蘭閣
ORLINS COURT",06/03/2020
10,中西區 Central & Western,"毓明閣1座
BLOCK 1, YUK MING TOWERS",06/03/2020
11,中西區 Central & Western,"德輔道西228號
NO.228 DES VOEUX ROAD WEST",06/03/2020
12,中西區 Central & Western,"德輔道西343號均益大廈第二期B座
BLOCK B, PHASE II, KWAN YICK BUILDING, NO.343 DES VOEUX ROAD WEST",06/03/2020
13,中西區 Central & Western,"IMPERIAL KENNEDY
",07/03/2020
14,中西區 Central & Western,"大新閣
SUN COURT",07/03/2020
15,中西區 Central & Western,"干諾道西155號高樂花園3座
BLOCK 3, CONNAUGHT GARDEN, NO.155 CONNAUGHT ROAD WEST",07/03/2020
16,中西區 Central & Western,"干諾道西16號
16 CONNAUGHT ROAD WEST",07/03/2020
17,中西區 Central & Western,"兆宜大廈
SIU YEE BUILDING",07/03/2020
18,中西區 Central & Western,"如意樓
YU YEE BUILDING",07/03/2020
19,中西區 Central & Western,"卑路乍街13號珍珠閣A座
BLOCK A, PEARL COURT, NO.13 BELCHER'S STREET",07/03/2020
20,中西區 Central & Western,"東利大樓B座
BLOCK B, TUNG LEE MANSION",07/03/2020
21,中西區 Central & Western,"金庭居
GOLDEN PAVILION",07/03/2020
22,中西區 Central & Western,"青蓮閣
CHING LIN COURT",07/03/2020
23,中西區 Central & Western,"保德街1-7號
NO.1-7 PO TUCK STREET",07/03/2020
24,中西區 Central & Western,"皇后街1號帝后華庭2座
BLOCK 2, QUEEN'S TERRACE, NO.1 QUEEN STREET",07/03/2020
25,中西區 Central & Western,"皇后街1號帝后華庭3座
BLOCK 3, QUEEN'S TERRACE, NO.1 QUEEN STREET",07/03/2020
26,中西區 Central & Western,"海都樓C座
",07/03/2020
27,中西區 Central & Western,"高陞大廈
KO SHING BUILDING",07/03/2020
28,中西區 Central & Western,"堅尼地城海旁20號益豐花園B座
BLOCK B, YICK FUNG GARDEN, NO.20 PRAYA KENNEDY TOWN",07/03/2020
29,中西區 Central & Western,"梅苑1座
MAY TOWER I",07/03/2020
30,中西區 Central & Western,"荷李活道52號
NO.52 HOLLYWOOD ROAD",07/03/2020
31,中西區 Central & Western,"惠苑
WAI YUEN MANSION",07/03/2020
32,中西區 Central & Western,"華冠大廈
WAH KOON BUILDING",07/03/2020
33,中西區 Central & Western,"滙豪閣
WINSOME PARK",07/03/2020
34,中西區 Central & Western,"嘉利大廈
GARLEY BUILDING",07/03/2020
35,中西區 Central & Western,"榮華里10號榮華大廈B座
BLOCK B, WINNER BUILDING, NO.10 WING WAH LANE",07/03/2020
36,中西區 Central & Western,"豪華大廈C座
BLOCK C, HOOVER MANSION",07/03/2020
37,中西區 Central & Western,"德輔道西160號
160 DES VOEUX ROAD WEST",07/03/2020
38,中西區 Central & Western,"德輔道西343號均益大廈第二期
PHASE II, KWAN YICK BUILDING, NO.343 DES VOEUX ROAD WEST",07/03/2020
39,中西區 Central & Western,"樂欣大廈
RYAN MANSION",07/03/2020
40,中西區 Central & Western,"澤安閣
CHESTER COURT",07/03/2020
41,中西區 Central & Western,"賴恩樓
LAI YAN LAU",07/03/2020
42,中西區 Central & Western,"錦明閣
KING MING MANSION",07/03/2020
43,中西區 Central & Western,"龍華街20號觀龍樓E座
BLOCK E, KWUN LUNG LAU, NO.20 LUNG WAH STREET",07/03/2020
44,中西區 Central & Western,"薄扶林道101號學士臺2座
BLOCK 2, ACADEMIC TERRACE, NO.101 POK FU LAM ROAD",07/03/2020
45,中西區 Central & Western,"薄扶林道89號寶翠園5座
BLOCK 5, THE BELCHER'S, NO.89 POK FU LAM ROAD",07/03/2020
46,中西區 Central & Western,"THE MAYFAIR
",08/03/2020
47,中西區 Central & Western,"干諾道西155號高樂花園2座
BLOCK 2, CONNAUGHT GARDEN, NO.155 CONNAUGHT ROAD WEST",08/03/2020
48,中西區 Central & Western,"永多樓
WING TO BUILDING",08/03/2020
49,中西區 Central & Western,"永興樓
WING HING HOUSE",08/03/2020
50,中西區 Central & Western,"生昌大廈
SANG CHEONG BUILDING",08/03/2020
51,中西區 Central & Western,"再發大廈
JOY FAT HOUSE",08/03/2020
52,中西區 Central & Western,"安泰街7號康威花園
HONGWAY GARDEN, NO.7 ON TAI STREET",08/03/2020
53,中西區 Central & Western,"西浦
SOHO 189",08/03/2020
54,中西區 Central & Western,"西祥街2號寶翠閣B座
BLOCK B, BELCHER COURT, NO.2 SAI CHEUNG STREET",08/03/2020
55,中西區 Central & Western,"均益大廈第一期
PHASE I, KWAN YICK BUILDING",08/03/2020
56,中西區 Central & Western,"明發大廈
MING FAT BUILDING",08/03/2020
57,中西區 Central & Western,"東南大廈
TONG NAM MANSION",08/03/2020
58,中西區 Central & Western,"南里8號
NO.8 SOUTH LANE",08/03/2020
59,中西區 Central & Western,"厚福大樓
HAU FOOK BUILDING",08/03/2020
