Flight/Train/Ship number,Departure & arrival,Date of travel,Related probable/confirmed cases
Diamond Princess,"Yokohama, Japan → Hong Kong → Yokohama, Japan",Since 20/01/2020,"Case 14, 71, 78, 79, 80, 81, 87, 88, 94, 96, 97 and an outbreak reported by the health authority of Japan"
Taxi,"1. Choi Tin House, Hing Tin Estate→Kwong Tin Shopping Centre 2. Kwong Tin Shopping Centre→Choi Tin House, Hing Tin Estate","18/02/2020,   20/02/2020",Case 72
Taxi,"1.     Block 3, Grand Yoho→Pok Oi Hospital 2. Pok Oi Hospital→Block 3, Grand Yoho",21/02/2020,Case 75
Taxi,"Fly Dragon Terrace, 26-32 Tin Hau Temple Road→Pamela Youde Nethersole Eastern Hospital",22/02/2020,Case 70
Taxi,"Maylun Apartments, 1-25 Shu Kuk Street→Pamela Youde Nethersole Eastern Hospital",22/02/2020,Case 74
Flight CX694,New Delhi→Hong Kong,24/02/2020,Case 105
Flight CX250,London→Hong Kong ,28/2/2020 (Arrival in Hong Kong),Case notified by Health Commission of Guangdong Province
Ferry 3A109,SkyPier→Shekou,28/02/2020,Case notified by Health Commission of Guangdong Province
Taxi,HK station→Villa Lotto,24/02/2020,Case 105
Taxi,1. Villa Lotto→Tang Shiu Kin Hospital 2.  Wellington Place→Tung Wah Hospital,02/03/2020,Case 105
Taxi,1. Villa Lotto→Tang Shiu Kin Hospital 2. Tang Shiu Kin Hospital→Villa Lotto,03/03/2020,Case 105
