航班/火車/船編號,起點及終點,乘搭日期,相關疑似/確診個案
鑽石公主號,日本橫濱→香港→日本橫濱,自20/01/2020,第14、71、78、79、80、81、87、88、94、96、97個案及日本衞生當局通報的爆發
航班 BA0323,巴黎→倫敦,03/03/2020,第106個案
航班 BA27,倫敦→香港,04/03/2020,第106個案
渡輪,中環→長洲,04/03/2020上午9:45,第107個案
渡輪,長洲→中環,04/03/2020下午1:45,第107個案
航班 CX838,香港→溫哥華,06/03/2020,第157及158個案
航班 TK695,開羅→伊斯坦堡,07/03/2020 (抵達伊斯坦堡),第119至121、123至127及129個案
航班 TK70,伊斯坦堡→香港,07/03/2020,第119至121、123至127及129個案
航班 CX320,馬德里→香港,08/03/2020 (抵達香港),廣東省衞健委通報的個案及第122個案
的士,香港國際機場→深圳灣口岸,08/03/2020,廣東省衞健委通報的個案
航班 CX930,馬尼拉→香港,08/03/2020,第132個案
的士,香港國際機場→西寧街35號西寧閣,08/03/2020,第132個案
航班 CX250,倫敦→香港,08/03/2020 (抵達香港),第134個案
的士,香港國際機場→林村梧桐寨,08/03/2020下午1:30,第134個案
航班 HV5760,摩洛哥→阿姆斯特丹,08/03/2020,第137及142個案
航班 CX857,西雅圖→香港,09/03/2020 (抵達香港),國家衞健委通報的個案
航班 KA900,香港→北京,09/03/2020,國家衞健委通報的個案
航班 KL887,阿姆斯特丹→香港,09/03/2020 (抵達香港),第137及142個案
渡輪,中環→長洲,10/03/2020上午7:40,第123個案
航班 CX260,巴黎→香港,10/03/2020 (抵達香港),廣東省衞健委通報的個案
的士 UF1749,香港國際機場→深圳灣口岸,10/03/2020,廣東省衞健委通報的個案
的士,iPlace→瑪嘉烈醫院,10/03/2020 (下午5:45到達瑪嘉烈醫院),第130及131個案
的士,瑪嘉烈醫院→iPlace,10/03/2020晚上9時,第131個案
航班 NH811,東京→香港,10/03/2020 (抵達香港),第136個案及一宗日本確診個案
航班 CX845,紐約→香港,10/03/2020 (抵達香港),新加坡衞生當局通報的個案
航班 CX759,香港→新加坡,10/03/2020,新加坡衞生當局通報的個案
航班 CX171,香港→珀斯,10/03/2020,澳洲衞生當局通報的個案
航班 CX811,波士頓→香港,10/03/2020 (抵達香港),第147、148及167個案
航班 EK380,杜拜→香港,10/03/2020,第151個案
航班 HX782,馬尼拉→香港,11/03/2020 (抵達香港),廣東省衞健委通報的個案
的士,瑪麗醫院→西寧街35號西寧閣,11/3/2020下午1:15及12/3/2020上午11:00,第132個案
航班 EK142,馬德里→杜拜,11/03/2020 (抵達杜拜),第139個案
航班 EK380,杜拜→香港,11/03/2020,第139個案
航班 BA31,倫敦→香港,11/03/2020 (抵達香港),第141個案
航班 JL2504,北海道→大阪,11/03/2020,第143及153個案
航班 CX561,大阪→香港,11/03/2020 (抵達香港),第143及153個案
航班 CX320,馬德里→香港,11/03/2020 (抵達香港),第161個案
航班 LX138,蘇黎世→香港,11/03/2020 (抵達香港),第168個案
航班 CX902,馬尼拉→香港,13/03/2020 (抵達香港),廣東省衞健委通報的個案
航班 LH119,慕尼黑→法蘭克福,12/03/2020,第144個案
航班 LH796,法蘭克福→香港,13/03/2020 (抵達香港),第144個案及廣東省衞健委通報的個案
航班 CX260,巴黎→香港,13/03/2020 (抵達香港),第145、146及159個案
航班 EK380,杜拜→香港,13/03/2020 (抵達香港),澳門特別行政區衛生局通報的個案
航班 BA0953,慕尼黑→倫敦,13/03/2020,第154個案
航班 MS960,開羅→曼谷→香港,14/03/2020 (抵達香港),第152個案
航班 BA0027,倫敦→香港,14/03/2020,第154個案
航班 CX382,蘇黎世→香港,14/03/2020 (抵達香港),廣東省衞健委通報的個案
航班 KA5930,馬尼拉→香港,14/03/2020 (抵達香港),廣東省衞健委通報的個案
航班 CX857,西雅圖→香港,14/03/2020 (抵達香港),廣東省衞健委通報的個案
航班 BA0733,日內瓦→倫敦,14/03/2020,第160個案
航班 CX270,荷蘭→香港,15/03/2020 (抵達香港),第150個案
航班 CX837,溫哥華→香港,15/03/2020 (抵達香港),第157及158個案
航班 BA33,倫敦→吉隆坡,15/03/2020 (抵達吉隆坡),第160及164個案
航班 MH78,吉隆坡→香港,15/03/2020,第160個案
航班 QR160,哥本哈根→多哈,15/03/2020,第165個案
航班 LH796,法蘭克福→香港,15/03/2020 (抵達香港),廣東省衞健委通報的個案
航班 HX782,馬尼拉→香港,15/03/2020 (抵達香港),廣東省衞健委通報的個案
航班CX5734,吉隆坡→香港,16/03/2020,第164個案
航班 QR818,多哈→香港,16/03/2020,第165個案
航班 BA0027,倫敦→香港,16/03/2020 (抵達香港),第166個案
