As of date,As of time,Other countries/areas,Number of cases/confirmed cases,Number of deaths among confirmed cases,Remark
14/01/2020,18:00,Thailand,1,,
15/01/2020,18:00,Thailand,1,,
16/01/2020,18:00,Thailand,1,,
16/01/2020,18:00,Japan,1,,
17/01/2020,18:00,Thailand,2,,
17/01/2020,18:00,Japan,1,,
18/01/2020,18:00,Thailand,2,,
18/01/2020,18:00,Japan,1,,
19/01/2020,18:00,Thailand,2,,
19/01/2020,18:00,Japan,1,,
20/01/2020,18:00,Thailand,2,,
20/01/2020,18:00,Japan,1,,
20/01/2020,18:00,Korea,1,,
21/01/2020,18:00,Taiwan,1,,
21/01/2020,18:00,Thailand,2,,
21/01/2020,18:00,Japan,1,,
21/01/2020,18:00,Korea,1,,
21/01/2020,18:00,United States,1,,
22/01/2020,18:00,Macao Special Administrative Region,1,,
22/01/2020,18:00,Taiwan,1,,
22/01/2020,18:00,Japan,1,,
22/01/2020,18:00,Korea,1,,
22/01/2020,18:00,Thailand,3,,
22/01/2020,18:00,United States,1,,
23/01/2020,18:00,Macao Special Administrative Region,2,,
23/01/2020,18:00,Taiwan,1,,
23/01/2020,18:00,Japan,1,,
23/01/2020,18:00,Korea,1,,
23/01/2020,18:00,Thailand,3,,
23/01/2020,18:00,United States,1,,
24/01/2020,9:00,Hong Kong Special Administrative Region,2,,
24/01/2020,9:00,Macao Special Administrative Region,2,,
24/01/2020,9:00,Taiwan,1,,
24/01/2020,9:00,Japan,2,,
24/01/2020,9:00,Korea,1,,
24/01/2020,9:00,Thailand,4,,
24/01/2020,9:00,Singapore,1,,
24/01/2020,9:00,Vietnam,2,,
24/01/2020,9:00,United States,1,,
24/01/2020,18:00,Hong Kong Special Administrative Region,2,,
24/01/2020,18:00,Macao Special Administrative Region,2,,
24/01/2020,18:00,Taiwan,1,,
24/01/2020,18:00,Japan,2,,
24/01/2020,18:00,Korea,2,,
24/01/2020,18:00,Thailand,4,,
24/01/2020,18:00,Singapore,3,,
24/01/2020,18:00,Vietnam,2,,
24/01/2020,18:00,United States,1,,
25/01/2020,18:00,Hong Kong Special Administrative Region,5,,
25/01/2020,18:00,Macao Special Administrative Region,2,,
25/01/2020,18:00,Taiwan,3,,
25/01/2020,18:00,Japan,3,,
25/01/2020,18:00,Korea,2,,
25/01/2020,18:00,Thailand,5,,
25/01/2020,18:00,Singapore,3,,
25/01/2020,18:00,Vietnam,2,,
25/01/2020,18:00,Nepal,1,,
25/01/2020,18:00,Malaysia,3,,
25/01/2020,18:00,United States,2,,
25/01/2020,18:00,Australia,1,,
25/01/2020,18:00,France,3,,
26/01/2020,18:00,Hong Kong Special Administrative Region,6,,
26/01/2020,18:00,Macao Special Administrative Region,5,,
26/01/2020,18:00,Taiwan,3,,
26/01/2020,18:00,Japan,3,,
