Flight/Train/Ship number,Departure & arrival,Date of travel,Related probable/confirmed cases
"Flight CX838 (Seat No.: Business class 15D, Business class 15G)",Hong Kong → Vancouver,06/03/2020,Case 157 and 158
Flight TK695 (Seat No.: Unknown),Cairo → Istanbul,7/3/2020 (Arrival in Istanbul),"Case 119-121, 123-127 and 129"
Flight TK70 (Seat No.: 14ABDEFGJKand 9J),Istanbul → Hong Kong,07/03/2020,"Case 119-121, 123-127 and 129"
Flight CX320 (Seat No.: 65C),Madrid → Hong Kong,8/3/2020 (Arrival in Hong Kong),Case notified by Health Commission of Guangdong Province and Case 122
Flight CX930 (Seat No.: 48C),Manila → Hong Kong,08/03/2020,Case 132
Flight CX250 (Seat No.: Unknown),London → Hong Kong,8/3/2020 (Arrival in Hong Kong),Case 134
"Flight HV5760 (Seat No.: 29E, 22D)",Morocco → Amsterdam,08/03/2020,Case 137 and 142
Flight QR818 (Seat No.: Unknown),Doha → Hong Kong,08/03/2020,Case 174
Flight CX857 (Seat No.: 40C),Seattle → Hong Kong,9/3/2020 (Arrival in Hong Kong ),Case notified by the National Health Commission
Flight KA900 (Seat No.: 23C),Hong Kong → Beijing,09/03/2020,Case notified by the National Health Commission
"Flight KL887 (Seat No.: 11K, 10G)",Amsterdam → Hong Kong,9/3/2020 (Arrival in Hong Kong ),Case 137 and 142
Flight CX260 (Seat No.: 70E),Paris → Hong Kong,10/3/2020 (Arrival in Hong Kong),Case notified by Health Commission of Guangdong Province
"Flight NH811 (Seat No.: 38C, then 39C)",Tokyo → Hong Kong,10/3/2020 (Arrival in Hong Kong),Case 136 and a case confirmed in Japan
Flight CX845 (Seat No.: 70C),New York → Hong Kong,10/3/2020 (Arrival in Hong Kong),Case notified by the health authority of Singapore
Flight CX759 (Seat No.: 47H),Hong Kong → Singapore,10/03/2020,Case notified by the health authority of Singapore
"Flight CX171 (Seat No.: 20K, then 21K)",Hong Kong → Perth,10/03/2020,Case notified by the health authority of Australia
"Flight CX811 (Seat No.: Business class 23K, business class 24K and cabin crew)",Boston → Hong Kong,10/3/2020 (Arrival in Hong Kong),"Case 147, 148 and 167"
Flight EK380 (Seat No.: Unknown),Dubai → Hong Kong,10/03/2020,Case 151
Flight HX782 (Seat No.: 39C),Manila → Hong Kong,11/3/2020 (Arrival in Hong Kong),Case notified by the Health Commission of Guangdong province
Flight EK142 (Seat No.: Business class 6K),Madrid → Dubai,11/3/2020 (Arrival in Dubai),Case 139
Flight EK380 (Seat No.: Business class 6K),Dubai → Hong Kong,11/03/2020,Case 139
Flight BA31 (Seat No.: 14E),London → Hong Kong,11/3/2020 (Arrival in Hong Kong),Case 141
Flight JL2504 (Seat No.: Unknown),Hokkaido → Osaka,11/03/2020,Case 143 and 153
"Flight CX561 (Seat No.: 42A, 42B)",Osaka → Hong Kong,11/3/2020 (Arrival in Hong Kong),Case 143 and 153
Flight CX320 (Seat No.: Business class cabin crew),Madrid → Hong Kong,11/3/2020 (Arrival in Hong Kong),Case 161
Flight LX138 (Seat No.: 14A),Zurich → Hong Kong,11/3/2020 (Arrival in Hong Kong),Case 168
Flight QR818 (Seat No.: Unknown),Dubai→Hong Kong,11/03/2020,Case 186
Flight LH119 (Seat No.: 9C),Munich → Frankfurt,12/03/2020,Case 144
Flight CX238 (Seat No.: Unknown),London → Hong Kong,12/3/2020 (Arrival in Hong Kong),Case 170
Flight CX252 (Seat No.: First class 2A),London→ Hong Kong,12/3/2020 (Arrival in Hong Kong),Case 206
"Flight CX260 (Seat No.: 47A, 59D, 62A)",Paris → Hong Kong,13/3/2020 (Arrival in Hong Kong),"Case 145, 146 and 159"
Flight CX698 (Seat No.: 20K),New Delhi → Hong Kong,13/3/2020 (Arrival in Hong Kong),Case 184
Flight CX902 (Seat No.: 20D),Manila → Hong Kong,13/3/2020 (Arrival in Hong Kong),Case notified by the Health Commission of Guangdong province
"Flight LH796 (Seat No.: 46G, 81K)",Frankfurt → Hong Kong,13/3/2020 (Arrival in Hong Kong),Case 144 and case notified by the Health Commission of Guangdong province
Flight EK380 (Seat No.: 31J),Dubai → Hong Kong,13/3/2020 (Arrival in Hong Kong),Case notified by the Health Bureau of Macao Special Administrative Region
Flight BA0953 (Seat No.: Unknown),Munich → London,13/03/2020,Case 154
Flight QR818 (Seat No.: 23E),Doha→Hong Kong,13/03/2020,Case 196
Flight MS960 (Seat No.: 44),Cairo → Bangkok → Hong Kong,14/03/2020,Case 152
Flight BA0027 (Seat No.: Unknown),London → Hong Kong,14/03/2020,Case 154
Flight CX382 (Seat No.: 22A),Zurich → Hong Kong,14/3/2020 (Arrival in Hong Kong),Case notified by the Health Commission of Guangdong province
Flight KA5930 (Seat No.: 61D),Manila → Hong Kong,14/3/2020 (Arrival in Hong Kong),Case notified by the Health Commission of Guangdong province
Flight CX857 (Seat No.: 43K),Seattle → Hong Kong,14/3/2020 (Arrival in Hong Kong),Case notified by the Health Commission of Guangdong province
Flight BA0733 (Seat No.: Unknown),Geneva → London,14/03/2020,Case 160
"Flight UO754 (Seat No.: 8B, 8E)",Chiang Mai → Hong Kong,14/03/2020,Case 175 and 176
Flight CX270 (Seat No.: 31C),Netherlands → Hong Kong,15/3/2020 (Arrival in Hong Kong),Case 150
"Flight CX837 (Seat No.: Business class 15D, Business class 15G)",Vancouver → Hong Kong,15/3/2020 (Arrival in Hong Kong),Case 157 and 158
"Flight BA0033 (Seat No.: 31B, 37C)",London → Kuala Lumpur,15/3/2020 (Arrival in Kuala Lumpur),Case 160 and 164
Flight MH78 (Seat No.: 17C),Kuala Lumpur → Hong Kong,15/03/2020,Case 160
Flight QR160 (Seat No.: Unknown),Copenhagen → Doha,15/03/2020,Case 165
