District,Building name,Last date of residence of the case(s),Related probable/confirmed cases
Wan Chai,Envoy Garden,,"114, 213"
Southern,"Block 28, Baguio Villa",,"Case notified by the health authority of Canada and Case 117, 118"
Tai Po,"Heng Tai House, Fu Heng Estate",,"119, 124, 140"
Eastern,Cornell Centre,,139
Sai Kung,684 Clear Water Bay Road,,141
Kwai Tsing,Tivoli Garden,,142
North,"Lai Ming House, Wah Ming Estate",,143
Sai Kung,The Palisades,,145
Eastern,Fort Mansion,,146
Central & Western,"Kellett View Town Houses, 65 Mount Kellett Road",,"147, 148"
Southern,"Wah Cheong House, Wah Fu 2 Estate",,149
Yau Tsim Mong,Hotel ICON,,150
Yau Tsim Mong,"Block A, Chungking Mansions",,151
Tuen Mun,"Tower 1, Oceania Heights",,152
Sha Tin,"Block 10, Pristine Villa",,153
Kowloon City,8 Hok Ling Street,,154
Wong Tai Sin,"Lung Chu House, Lung Poon Court",,155
Central & Western,Island Shangri-La,,156
Tai Po,"Block 16, Mayfair By The Sea",,"157, 158"
Southern,The Redhill Peninsula,,"160, 235"
Tuen Mun,"Block 4, Tuen Mun Town Plaza",,161
Yau Tsim Mong,"Tower 7, the Coronation",,162
Central & Western,"Emerald Garden, 86 Pok Fu Lam Road",,163
Wong Tai Sin,"Choi Wah House, Choi Fai Estate",,167
Wan Chai,"Tower 2, the Zenith",,168
Eastern,Hyatt Centric Victoria Harbour Hong Kong,,169
Eastern,"Block 2, Island Resort",,170
Sha Tin,"Block 8, Saddle Ridge Garden",,171
Sha Tin,Hong Kong Sports Institute Athletes' Hostel,,172
Wong Tai Sin,"Oi Wai House, Tsz Oi Court",,173
Yau Tsim Mong,"Tower 3, Hampton Place",,"174, 222"
Kwun Tong,"Ying Lai House, Yau Lai Estate",,"175, 176"
Central & Western,Rich View Terrace,,"177, 178"
Central & Western,3A Tregunter Path,,180
Wan Chai,Sakura Court,,"181, 215"
Sai Kung,Tai Mong Tsai Road,,182
Central & Western,"Seymour Place,60 Robinson Road",,183
Southern,"Block 47, Baguio Villa",,184
Wan Chai,"King Cheung Mansion, 5 King Kwong Street",,185
Eastern,"Block 1, Island Resort",,186
Sham Shui Po,E hotel Hong Kong,,190
Sha Tin,"Block C, Sunshine City",,191
Yau Tsim Mong,Hang Yue Court,,192
Tuen Mun,Pentahotel Hong Kong,,193
Central & Western,Conway Mansion,,194
Kowloon City,Hang Tak Yuen,,195
Kwai Tsing,"Kwai On House, Kwai Fong Estate",,196
Sai Kung,"Kwong Ning House, Kwong Ming Court",,198
Yau Tsim Mong,26 Kimberley Road,,199
Yau Tsim Mong,Imperial Hotel,,200
Yuen Long,Pak Sha Tsuen,,201
Southern,"Block 4, Repulse Bay Garden",,"203, 223"
Sha Tin,"Court B, Tower 3, Dragons Range",,204
Sai Kung,"Tower 2, The Capitol, Lohas Park",,"205, 256"
Southern,46 Island Road,,206
Central & Western,"Tower 1, Hillsborough Court",,207
Central & Western,20 Square Street,,208
Yau Tsim Mong,K11 ARTUS,,209
Wan Chai,"Tower 1, Hoover Tower",,210
Wan Chai,Tower 3 The Avenue,,"211, 214, 230"
Islands,"Block 5, Tung Chung Crescent",,212
Wan Chai,Villa Monte Rosa,,216
Central & Western,1 High Street,,217
Wan Chai,"Block A, Viking Villas",,218
Tsuen Wan,"Block 5, The Summit Terrace",,219
Tsuen Wan,Tower 1 Vision City,,220
Sham Shui Po,"Yee Kok Court, Yee Tai House",,221
Yau Tsim Mong,"Block 12, Charming Garden",,223
Central & Western,May Tower,,224
Southern,No. 4 Stanley Village Road,,225
Southern,"Tower 3, The Repulse Bay",,226
Wong Tai Sin,Tower 7 The Latitude,,226
Kowloon City,"Tower 3, Green Wood Laguna Verde",,227
Kowloon City,8 Hok Ling Street,,228
Tsuen Wan,"Block C, Luk Yeung Sun Chuen",,229
Wan Chai,St. Regis Hong Kong,,"230, 264"
Yuen Long,"Shui Lam House, Tin Shui Estate",,231
North,"Tower 1, Green Code",,232
Kwai Tsing,"Hong Ping House, Cheung Hong Estate",,233
Southern,"South Bay Road, Repulse Bay",,234
Wan Chai,The Emperor Hotel,,236
Eastern,Tung Lam Court,,237
Central & Western,"Evergreen Tower, Western Garden",,"238, 268"
Sai Kung,31 Wo Tong Kong,,239
Sha Tin,"Tower 1, BayshoreTowers",,240
Kowloon City,118 Tam Kung Road,,242
Sham Shui Po,"Phase 2, Village Gardens",,243
Tuen Mun,"Tip Sum House, Butterfly Estate",,244
Central & Western,"Po Hing Mansion, 20 Rutter Street",,245
Wan Chai,"Block C, Beverly Hill, 6 Broadwood Road",,246
Wan Chai,8 Ventris Road,,247
Eastern,"Maple Mansion, Harbour View Gardens",,249
Eastern,"Lai Wah Mansion, 867-881 King's Road",,250
Central & Western,The Nova,,251
Sha Tin,"Tower 1, Ma On Shan Centre",,252
Sha Tin,"Block D, The Grandville",,253
Tuen Mun,"Hing Fai House, Tai Hing Estate",,255
Sai Kung,"Tower 9, Ocean Shores",,257
Yuen Long,"Yiu Foo House, Tin Yiu Estate",,"258, 259"
Wan Chai,"Block A, Viking Villas",,260
Central & Western,"Shun On Building, 2 Sands Street",,261
Kowloon City,Cheong Shing Court,,262
Kwai Tsing,"Yam Heng House, Shek Yum Estate",,263
Wan Chai,Sakura Court,,264
