地區,大廈名單,最後有個案在出現病徵期間逗留的日期,相關確診個案
葵青,灝景灣第一座,05/02/2020,"第21,22個案"
東區,筲箕灣道142-146號高望大樓,05/02/2020,第23個案
沙田,碩門邨第二期瑞碩樓,05/02/2020,第24個案
北區,坑頭雍翠苑,06/02/2020,第25個案
沙田,御龍山第10座,06/02/2020,第26個案
黃大仙,彩峰苑,08/02/2020,第28個案
灣仔,駱克道356-362號鴻福大廈,08/02/2020,"第27,29,30,31個案"
灣仔,禮頓道42-56號禮智大廈,08/02/2020,"第32,34,35,41個案"
灣仔,灣仔道110號中滙大樓,09/02/2020,"第33,36個案"
沙田,禾輋邨泰和樓,09/02/2020,第37個案
東區,西灣河街110號長興大廈,09/02/2020,"第38,39,40個案"
葵青,長康邨康美樓,09/02/2020,"第12,42,48,49個案"
東區,藍灣半島第三座,10/02/2020,第43個案
南區,利東邨東平樓,10/02/2020,第44個案
西貢,寶林邨寶仁樓,10/02/2020,第45個案
南區,田灣邨田澤樓,10/02/2020,第46個案
屯門,良田村,10/02/2020,第47個案
葵青,長安邨安濤樓,10/02/2020,第50個案
屯門,紫田村,12/02/2020,第51個案
灣仔,柯布連道28-32號香海大廈,12/02/2020,"第52,53個案"
葵青,石籬二邨石怡樓,12/02/2020,第55個案
南區,大浪灣村,13/02/2020,第54個案
中西區,永樂街233號,13/02/2020,第56個案
東區,康柏徑10號康景花園D座,14/02/2020,"第52,61個案"
東區,太古城明宫閣,16/02/2020,"第57, 60個案"
西貢,怡明邨怡情樓,16/02/2020,第58個案
黃大仙,慈愛苑愛華閣,16/02/2020,第59個案
屯門,海景花園1座,15/02/2020,第63個案
觀塘,康寧道金僑華廈,17/02/2020,第62個案
東區,小西灣邨瑞滿樓,18/02/2020,"第64,65個案"
九龍城,亞皆老街147B醫院管理局大樓(非住宅),06/02/2020,"第57,59個案"
油尖旺區,新世紀廣場(非住宅),09/02/2020,"第37,50個案"
東區 ,西灣河街23號富欣閣(非住宅),09/02/2020,"第57,60個案"
灣仔,群策大廈(非住宅),10/02/2020,"第30,44個案"
東區 ,英皇道633號(非住宅),11/02/2020,"第57,59個案"
觀塘,樂華北邨商場(非住宅),13/02/2020,第62個案
屯門,三聖街5號(非住宅),14/02/2020,第63個案
東區 ,太古城元宮閣(非住宅),15/02/2020,第57個案
深水埗,長沙灣賽馬會普通科門診診所(非住宅),15/02/2020,第58個案
深水埗,元州街298號D(非住宅),16/02/2020,第58個案
東區,北角道1-9A號皇冠大廈(非住宅),18/02/2020,"第64,65個案"
