District,Building name,Last date of residence of the case(s),Related probable/confirmed cases
Eastern,Hyatt Centric Victoria Harbour Hong Kong,,169
Eastern,"Block 2, Island Resort",,170
Sha Tin,"Block 8, Saddle Ridge Garden",,171
Sha Tin,Hong Kong Sports Institute Athletes' Hostel,,172
Wong Tai Sin,"Oi Wai House, Tsz Oi Court",,173
Yau Tsim Mong,"Tower 3, Hampton Place",,"174, 222"
Kwun Tong,"Ying Lai House, Yau Lai Estate",,"175, 176"
Central & Western,Rich View Terrace,,"177, 178"
Central & Western,3A Tregunter Path,,180
Wan Chai,Sakura Court,,"181, 215"
Sai Kung,Tai Mong Tsai Road,,182
Central & Western,"Seymour Place,60 Robinson Road",,183
Southern,"Block 47, Baguio Villa",,184
Wan Chai,"King Cheung Mansion, 5 King Kwong Street",,185
Eastern,"Block 1, Island Resort",,186
Sham Shui Po,E hotel Hong Kong,,190
Sha Tin,"Block C, Sunshine City",,191
Yau Tsim Mong,Hang Yue Court,,192
Tuen Mun,Pentahotel Hong Kong,,193
Central & Western,Conway Mansion,,194
Kowloon City,Hang Tak Yuen,,195
Kwai Tsing,"Kwai On House, Kwai Fong Estate",,196
Sai Kung,"Kwong Ning House, Kwong Ming Court",,198
Yau Tsim Mong,26 Kimberley Road,,199
Yau Tsim Mong,Imperial Hotel,,200
Yuen Long,Pak Sha Tsuen,,201
Southern,"Block 4, Repulse Bay Garden",,"203, 223"
Sha Tin,"Court B, Tower 3, Dragons Range",,204
Sai Kung,"Tower 2, The Capitol, Lohas Park",,"205, 256"
Southern,46 Island Road,,206
Central & Western,"Tower 1, Hillsborough Court",,207
Central & Western,20 Square Street,,208
Yau Tsim Mong,K11 ARTUS,,209
Wan Chai,"Tower 1, Hoover Tower",,210
Wan Chai,"Tower 3, The Avenue",,"211, 214, 230"
Islands,"Block 5, Tung Chung Crescent",,212
Wan Chai,Envoy Garden,,213
Wan Chai,Villa Monte Rosa,,216
Central & Western,1 High Street,,217
Wan Chai,"Block A, Viking Villas",,218
Tsuen Wan,"Block 5, The Summit Terrace",,219
Tsuen Wan,"Tower 1, Vision City",,220
Sham Shui Po,"Yee Kok Court, Yee Tai House",,221
Yau Tsim Mong,"Block 12, Charming Garden",,223
Central & Western,May Tower,,224
Southern,No. 4 Stanley Village Road,,225
Southern,"Tower 3, The Repulse Bay",,226
Wong Tai Sin,"Tower 7, The Latitude",,226
Kowloon City,"Tower 3, Green Wood Laguna Verde",,227
Kowloon City,8 Hok Ling Street,,228
Tsuen Wan,"Block C, Luk Yeung Sun Chuen",,229
Wan Chai,St. Regis Hong Kong,,"230, 264"
Yuen Long,"Shui Lam House, Tin Shui Estate",,231
North,"Tower 1, Green Code",,232
Kwai Tsing,"Hong Ping House, Cheung Hong Estate",,233
Southern,"21 South Bay Road, Repulse Bay",,234
Southern,The Redhill Peninsula,,235
Wan Chai,The Emperor Hotel,,236
Eastern,Tung Lam Court,,237
Eastern,"Hang Tsui Court, Tsui Ying House",,"238, 268"
Sai Kung,31 Wo Tong Kong,,239
Sha Tin,"Tower 1, BayshoreTowers",,240
Kowloon City,118 Tam Kung Road,,242
Sham Shui Po,"Phase 2, Village Gardens",,243
Tuen Mun,"Tip Sum House, Butterfly Estate",,244
Central & Western,"Po Hing Mansion, 20 Rutter Street",,245
Wan Chai,"Block C, Beverly Hill, 6 Broadwood Road",,246
Wan Chai,8 Ventris Road,,247
Eastern,"Maple Mansion, Harbour View Gardens",,249
Eastern,"Lai Wah Mansion, 867-881 King's Road",,250
Central & Western,The Nova,,251
Sha Tin,"Tower 1, Ma On Shan Centre",,252
Sha Tin,"Block D, The Grandville",,253
Tuen Mun,"Hing Fai House, Tai Hing Estate",,255
Sai Kung,"Tower 9, Ocean Shores",,257
Yuen Long,"Yiu Foo House, Tin Yiu Estate",,"258, 259"
Wan Chai,"Block A, Viking Villas",,260
Central & Western,"Shun On Building, 2 Sands Street",,261
Kowloon City,Cheong Shing Court,,262
Kwai Tsing,"Yam Heng House, Shek Yum Estate",,263
Wan Chai,Sakura Court,,264
Central & Western,"Silvercrest, 24 Macdonnell Road",,265
Southern,Repulse Bay Garden,,266
Central & Western,SOHO 189,,267
Eastern,"Block Q, Kornhill",,269
Sham Shui Po,"Block 23, Phase 1, Mei Foo Sun Cheun",,270
Island,"Tower 12, Caribbean Coast",,271
Yau Tsim Mong,"Block 4, Prosperous Garden",,272
Yau Tsim Mong,"Block B, Hoi Lam House, Hoi Fu Court",,273
Kwun Tong,Dorsett Kwun Tong,,274
Wong Tai Sin,"Block 2, Kai Tak Garden",,275
Wan Chai,Hang Shun Mansions,,276
Wan Chai,307 Jaffe Road,,277
Wan Chai,Tagus Residences,,278
Islands,"Woodland Court, Parkvale Village",,279
Central & Western,Chi Residences 120,,281
Central & Western,208 Hollywood Road,,282
Southern,L'Hoel Island South,,283
Sha Tin,"Block 6, Bayshore Towers",,284
Yau Tsim Mong,"Tower 7, The Long Beach",,285
Sai Kung,Pak Kong Au Road,,286
Tsuen Wan,Indi Home,,287
Kwai Tsing,"On Hoi House, Cheung On Estate",,287
Eastern,"Block 6, Provident Centre",,288
Eastern,"On Hiu Mansion, Lei King Wan",,289
Southern,Ovolo Southside,,290
Southern,"Chun Tak House, Lung Tak Court",,291
Wan Chai,Rosedale Hotel Hong Kong,,292
Wan Chai,Monmouth Villa,,293
Tsuen Wan,"Block 1, City Point",,295
North,Fanling Wai South,,296
Eastern,Ramada Hong Kong Grand View,,297
North,"Lai Ming House, Wah Ming Estate",,298
Kowloon City,"Tower 3, Harbour View Horizon Hotel",,299
Yau Tsim Mong,Rosedale Hotel Kowloon,,300
Sha Tin,"Fook Lam House, Kwong Lam Court",,301
Sha Tin,Athlete's Hostel in HK Sports Institues,,302
Eastern,Tung Lam Court,,"303, 304"
Eastern,191-193 Shau Kei Wan Road,,306
Kwun Tong,"Tak Shui House, Tak Tin Estate",,308
Wan Chai,"Celeste Court, Fung Fai Terrace",,309
Central & Western,Valiant Park,,310
Kowloon City,8 Hok Ling Street,,311
Kwai Tsing,"Kwai Yat House, Kwai Hong Court",,312
Yau Tsim Mong,Lyton Building,,313
Sham Shui Po,"Yee Tai House, Yee Kok Court",,314
Central & Western,Wise Mansion,,315
Southern,Le Meridien Cyberport,,316
Sai Kung,Marina Cove,,317
Southern,"Block 4, Aqua 33",,318
Central &Western,"Block 8, Hee Wong Terrace",,319
Tuen Mun,The Hillgrove,,320
Islands,Novotel Citygate Hong Kong,,321
Kowloon City,25 Stafford Road,,322
Yau Tsim Mong,"Block 6, Parc Palais",,323
Yau Tsim Mong,Rosedale Hotel Kowloon,,324
Central &Western,"Vienna Court, Realty Gardens",,325
Southern,"Block D, The Manhattan",,326
Central & Western,"Tower 1, Hillsborough Court",,327
Islands,"Tower 10, the Visionary",,328
Tai Po,"Block 8, Phase 4, Tai Po Centre",,332
Yau Tsim Mong,"Kadoorie Avenue Mansion, 207 Prince Edward Road West",,333
Eastern,Braemar Hill Mansions,,334
Yau Tsim Mong,Best Western Grand Hotel Hong Kong,,335
Kowloon City,152 Waterloo Road,,336
Kwai Tsing,Mai Ning Building,,337
Kwai Tsing,"Chau Kwai House, Kwai Chung Estate",,338
Eastern,"Wah Hei House, Tung Hei Court, Sai Wan Ho",,339
Sai Kung,"Block 1, Park Mediterranean, Sai Kung",,339
Eastern,"Sui Fat House, Siu Sai Wan Estate, Chai Wan",,340
Wan Chai,"38 Broadwood Road, Happy Valley",,341
Southern,"Tung Yip House, Lei Tung Estate, Ap Lei Chau",,342
Eastern,"Stayed in Homy Inn, North Point",,342
Wan Chai,"Island Building, Wan Chai",,343
Sai Kung,"Tower 4, Metro City Phase 1",,344
Central & Western,"Fairlane Tower, Mid-levels",,345
Wan Chai,Po Ming Building,,346
Sha Tin,"Block 7, Villa Athena",,347
Eastern,"Block 3, Fullview Garden",,348
Sha Tin,"Yiu Shun House, Yiu On Estate",,349
Tai Po,"Block 10, Treasure Spot Palace",,350
Tai Po,"Block 10, Treasure Spot Palace",,351
Sai Kung,"Sai Keng Village, Sai Sha Road",,352
Kwun Tong,"Dorsett Kwun Tong Hotel, Kwun Tong",,353
Central & Western,53 Hollywood Road,,354
Sha Tin,Block 11 Royal Ascot,,Returning from Japan (Diamond Princess cruise)
Central & Western,Chester Court,,Returning from Japan (Diamond Princess cruise)
Eastern,"Kam Shan Mansion, Taikoo Shing",,358
Kowloon City,Stafford Road,,359
Central & Western,312 Queen's Road West,,360
Central & Western,Bohemian House,,361
Central & Western,Golden Valley Mansion,,362
Southern,"Block C, The Manhattan",,363
Sha Tin,"Jade Heights, Belair Gardens",,366
Central & Western,Golden Valley Mansion,,367
Central & Western,Four Seasons Hotel Hong Kong,,"368, 369"
Central & Western,1 Ping On Lane,,370
Islands,"Mun Wo House, Mun Tung Estate",,371
Southern,"Block 12, South Horizons",,372
Wan Chai,Sing Kong Building,,373
Southern,"Block 25, Baguio Villa",,374
Central & Western,Wise Mansion,,375
Tai Po,San Uk Ka,,377
Central & Western,Centre Place,,378
Kowloon City,1 Oxford Road,,379
Eastern,6 Ming Yuen Western Street,,380
Sai Kung,Marina Cove,,381
Tai Po,"Block 3, Uptown Plaza",,383
Wan Chai,Hang Shun Mansions,,384
Sai Kung,"Kwong Cheong House, Kwong Ming Court",,385
Islands,"Ngan Yuet House, Ngan Wan Estate",,386
Wan Chai,Hang Shun Mansions,,387
Sai Kung,"King Min House, King Lam Estate",,388
Wan Chai,Percival House,,389
Wan Chai,Rosedale Hotel Hong Kong,,390
Wan Chai,1A Fung Fai Terrace,,391
Islands,Tai Long Wan Village,,392
Tai Po,Hong Lok Road East,,393
Yuen Long,Full Shing Building,,394
Tuen Mun,"Yonking Garden, Tsing Chuen Wai",,395
Islands,Auberge Discovery Bay Hong Kong,,396
Kwai Tsing,"Block 8, Tierra Verde",,397
Tsuen Wan,Dorsett Tsuen Wan Hotel Hong Kong,,398
Tuen Mun,Sun Fung Wai,,399
Yau Tsim Mong,Holiday Inn Golden Mile,,400
Yau Tsim Mong,Holiday Inn Golden Mile,,401
Central & Western,Welley Building,,402
Wan Chai,"Block A, Park Place",,403
Wan Chai,"Block A, Park Place",,404
Kowloon City,"Tower 16, Laguna Verde",,405
Southern,"Block 2, Stanford Villa",,406
Eastern,"Tower 1, Grand Promenade",,407
North,"Lane 12, Liu Pok Tsuen",,408
Yau Tsim Mong,"Tower 6, Island Harbourview",,409
Central & Western,52 Conduit Road,,410
Tuen Mun,San Hui Village,,411
Kwun Tong,Kwun Tong Disciplined Services Quarters,,412
Yuen Long,"Ping Oi House, Ping Yan Court",,413
Sham Shui Po,"8 Glee Path, Mei Foo Sun Chuen",,414
Kowloon City,Kwun Hei Court,,415
Yau Tsim Mong,The Kimberley Hotel,,415
Yau Tsim Mong,Best Western Plus Hotel,,415
Tai Po,Nam Wa Po,,416
Central & Western,Blessings Garden,,417
Yau Tsim Mong,"Block B, Oriental Gardens",,418
Wan Chai,Metropark Hotel Causeway Bay Hong Kong,,419
Wan Chai,Happy Valley 88,,420
Yau Tsim Mong,Sunpeace Court,,421
Eastern,Gold Mine Building,,422
Wan Chai,Haven Court,,423
Islands,"Tower 6, Caribbean Coast",,424
Yau Tsim Mong,19 Lai Chi Kok Road,,428
Southern,"Block 6, South Horizons, Ap Lei Chau",,429
Yau Tsim Mong,"Tower 2, One Silversea",,430
North,"Ching Chak House, Ching Ho Estate",,431
Wan Chai,"Yee Hing Building, 357 Hennessy Road",,432
Wan Chai,Hang Shun Mansions,,432
Wan Chai,Hang Shun Mansions,,433
Wan Chai,Hang Shun Mansions,,434
Central & Western,The Harbourview,,435
Yuen Long,"Heng Lai House, Tin Heng Estate",,436
Kowloon City,"Tower 5, One Homantin",,437
Central & Western,St Paul's Terrace,,438
Tai Po,Villa Castell,,439
Wan Chai,Hang Shun Mansions,,440
Yau Tsim Mong,Rosewood Hong Kong,,441
Eastern,"Cheuk Wah House, Hing Wah (I) Estate",,442
Eastern,Tai Lung House,,444
Wong Tai Sin,"Tower 6, The Latitude",,446
Kowloon City,"Chiu Man House, Oi Man Estate",,447
Sai Kung,"Tower 6, Nan Fung Plaza",,448
Sham Shui Po,280 Ki Lung Street,,450
Central & Western,379 Queen's Road Central,,451
Central & Western,8 Mercer Street,,452
Central & Western,18 Eastern Street,,453
Kwun Tong,"Lee Yip House, Shun Lee Estate",,454
Yuen Long,Yan Sau Wai,,455
Kwun Tong,"Sau Wah House, Sau Mau Ping Estate",,458
Yau Tsim Mong,Shining Heights,,459
Sai Kung,"Tower 9, Metro City Phase 2",,460
Islands,"Twilight Court, Peninsula Village",,461
Kwun Tong,"Block A, Hyde Towers",,462
Southern,"Block B, Abba House",,463
Central & Western,Scholastic Garden,,464
Central & Western,8 Kennedy Road,,465
Yuen Long,"Block 4, Sun Yuen Long Centre",,466
Wan Chai,"Block A, Elm Tree Towers",,467
Central & Western,"Block 2, Villas Sorrento",,468
Wan Chai,OZO Wesley Hong Kong,,469
Yau Tsim Mong,YMCA,,470
Tuen Mun,"Block 2, Sun Tuen Mun Centre",,471
Tai Po,"Tower 2, Solaria",,472
Yau Tsim Mong,392 Reclamation Street,,473
Yau Tsim Mong,The Luxe Manor,,474
Sai Kung,The Palisades,,475
Southern,Belgravia,,476
Wan Chai,Yick Shing Mansion,,477
Sai Kung,"5B, Wings At Sea, Lohas Park",,478
Tsuen Wan,"Hoi Tsui Mansion, Riviera Gardens",,480
Eastern,33 Kam Wa Street,,481
Kwun Tong,Dorsett Kwun Tong,,482
Sha Tin,Scenery Garden,,483
Wong Tai Sin,"Ching Ming House, Tsz Ching Estate",,484
Southern,L'hotel Island South,,485
Sha Tin,Courtyard by Marriott Hong Kong Sha Tin,,486
Wan Chai,OZO Wesley Hong Kong,,487
Kwun Tong,"Hiu Tin House, Hiu Lai Court",,488
Kwun Tong,"Hiu Tin House, Hiu Lai Court",,489
Yuen Long,"Block 4, Locwood Court, Kingswood Villas",,490
Kwun Tong,"Block 14, Richland Gardens",,491
Kwai Tsing,"Block 8, Tierra Verde",,492
Yau Tsim Mong,"Block 3, Charming Garden",,493
Sham Shui Po,Super Tower,,494
Sha Tin,"Hin Yeung House, Hin Keng Estate",,495
Southern,Kam Fung Building,,496
Yau Tsim Mong,Willie Court,,497
Yau Tsim Mong,Tsim Sha Tsui Mansion,,498
Yau Tsim Mong,Kensington Plaza,,499
Eastern,"Block 33, Heng Fa Chuen",,500
Wan Chai,Hang Shun Mansions,,501
Tuen Mun,"Block 3, Chelsea Heights",,504
Sha Tin,"Block 2, Castello",,507
Southern,"Block CD, 142 Pokfulam Road",,508
Kowloon City,Hing Lee Building,,509
Sha Tin,"Wai Sum House, Lung Hang Estate",,510
Yuen Long,"2B, Park Yoho",,511
Yau Tsim Mong,Wai Ching Mansion,,512
Wan Chai,310-312 Hennessy Road,,513
Kowloon City,"Tower 3, Mantin Heights",,514
Kwun Tong,Hyde Tower,,515
Yau Tsim Mong,Shun Hing Building,,516
Sham Shui Po,280 Ki Lung Street,,517
Kwun Tong,Telford Gardens Block Q2,,518
Yau Tsim Mong,315 Nathan Road,,519
Yau Tsim Mong,"Tower 3, Waterfront",,520
Central & Western,"Tower 2, Centrestage",,522
Central & Western,"Tower 2, Centrestage",,523
Wan Chai,Ka Yee Building,,524
Wan Chai,238-240 Lockhart Road,,525
Kwai Tsing,"Luk Kwai House, Kwai Chung Estate",,526
Wan Chai,Queen's Cube,,528
Yau Tsim Mong,Ocean View Court,,529
Yau Tsim Mong,22 Cheong Lok Street,,531
Kwai Tsing,Silka Tsuen Wan Hotel,,532
Southern,"Pik Shan House, Shek Pai Wan Estate",,533
Eastern,Fok Cheong Building,,534
Central & Western,32 Gough Street,,535
Wan Chai,Golden Jubilee House,,536
Central & Western,Ardshiel,,537
Sha Tin,Sausalito Tower 6,,538
Sha Tin,"Block E, Kam Ying Court",,539
Central & Western,Ramada Hong Kong Harbour View Hotel,,540
Sai Kung,O Pui Village,,541
Central & Western,Honiton Building,,542
Central & Western,217 Des Voeux Road West,,543
Central & Western,Felix Villas,,544
Kwun Tong,Camlux Hotel,,545
Yuen Long,Healey Building,,546
North,Hai Wing Road,,547
Central & Western,Euston Court,,548
Tuen Mun,"Block 2, , Blossom Garden",,549
Kowloon City,30 Fat Kwong Street,,550
Kowloon City,12 Hung Lok Road,,551
Tai Po,Ha Hang Village,,552
Eastern,"Block 1, Provident Centre",,553
Yau Tsim Mong,Holiday Inn Express Hong Kong Mongkok,,554
Central & Western,Excelsior Court,,555
Central & Western,Grand City Hotel,,556
Wan Chai,"Dorsett Wanchai, Hong Kong",,557
Sha Tin,Dragons Range,,558
Kowloon City,"Block A, The Dahfuldy",,559
Central & Western,Ramada Hong Kong Harbour View Hotel,,560
Tuen Mun,Oceania Heights,,561
Sai Kung,"Block 4, Beverly Garden",,562
Central & Western,Fairview Height,,563
Central & Western,"Block 2, Academic Terrace",,564
Sha Tin,"Block 2, The Castello",,565
Central & Western,32 Lyttelton Road,,566
Yau Tsim Mong,101 Ki Lung Street,,567
Eastern,"Block 41, Heng Fa Chuen",,568
Sai Kung,"Tower 10, La Splendeur Tower, Lohas Park",,569
Wong Tai Sin,"Block E, Galaxia",,570
Southern,Pine Crest,,571
Kwun Tong,"Block 1, Hong Lee Court",,572
Sha Tin,"Tower 5, Festival City II",,573
Sai Kung,"Yee Yan House, Yee Ming Estate",,574
Central & Western,48 Kennedy Road,,575
Central & Western,Golden Valley Mansion,,576
Central & Western,Golden Valley Mansion,,577
Central & Western,Golden Valley Mansion,,578
Central & Western,Golden Valley Mansion,,579
Tuen Mun,"Hing Shing House, Tai Hing Estate",,580
Tuen Mun,"Siu Fu House, Siu Kwai Court",,581
Eastern,"Block 4, Provident Centre",,583
Central & Western,The Morgan,,584
Wan Chai,"Block B, Wing Tak Mansion",,585
Yau Tsim Mong,"Block 1, Central Park",,586
North,Kong Ha Village,,587
North,Kong Ha Village,,588
Wan Chai,The Park Lane,,589
Kwun Tong,"Block 1, Hong Lee Court",,590
Kwun Tong,"Block 1, Sceneway Garden",,591
Wan Chai,"Block 3, Victoria Centre",,592
Yuen Long,"Block 10, Grand Yoho",,593
Yau Tsim Mong,Butterfly on Prat Boutique Hotel,,594
Islands,Monterey Villas,,595
Yuen Long,"Block 1, Chestwood Court, Kingswood Villas",,596
Kwun Tong,Dorsett Kwun Tong,,597
Sha Tin,"Block 8, City One Shatin",,598
North,"Cheung Tak House, Cheung Wah Estate",,599
Sai Kung,"Tower 7, Le Prime, Lohas Park",,600
Wan Chai,Novotel Century Hong Kong Hotel,,601
Yau Tsim Mong,"Block 3, The Sorrento, Tsim Sha Tsui",,602
Kowloon City,"Tower 1, One Kai Tak (I)",,603
Yau Tsim Mong,Best Western Grand Hotel,,604
Central & Western,Bishop Lei International House,,605
Wan Chai,Shining Building,,606
Tsuen Wan,"Tower 2, Anglers' Bay",,607
Yuen Long,Fairview Park,,608
Kowloon City,Kwun Hei Court,,609
Sha Tin,Kak Tin Village,,610
Yau Tsim Mong,4 Argyle Street,,611
Wan Chai,"Block A, Elm Tree Tower",,612
Wan Chai,"Block A, Elm Tree Tower",,613
Eastern,"Yiu Tsui House, Kai Tsui Court",,614
Yuen Long,Wong Nai Tun Tsuen,,615
Southern,"Block AB, Scenic Villas",,616
Kowloon City,"Block C, Devon Court",,617
Central & Western,Wing Wah Mansion,,618
Tai Po,"Ming Yan House, Ming Nga Court",,619
Tai Po,"Ming Yan House, Ming Nga Court",,620
Wan Chai,"Tower 8, The Leighton Hill",,621
Wan Chai,"Block A, Elm Tree Towers",,622
Islands,"Tower 1A, Century Link",,623
Kwai Tsing,"Tower 3A, Tierra Verde",,624
Tai Po,Ma Kwu Lam Village,,625
Wan Chai,Hang Shun Mansions,,626
Central & Western,"Sun On Building, 484-496, Queen's Road West",,627
Eastern,"Block 2, New Jade Garden",,628
Sham Shui Po,"Mei Sang House, Shek Kip Mei Estate",,629
Wan Chai,Hang Shun Mansions,,630
Central & Western,"Tower 2, Robinson Place",,631
Tuen Mun,"Siu Fu House, Siu Kwai Court",,632
Yuen Long,"Block 6, Casa De Oro",,633
Kowloon City,Kadoorie Avenue Mansion,,634
Kwun Tong,"Tat Hei House, Po Tat Estate",,637
Tai Po,Po Hong Mansion,,638
Kwun Tong,"Kan Wah House, Lok Wah North Estate",,639
Central & Western,The Morgan,,640
Islands,Headland Hotel,,641
Kwun Tong,Sheung Heu Building,,643
Central & Western,8 Kennedy Road,,644
Sha Tin,"Belleve Court, Pictorial Garden",,645
Islands,"Block 15, Caribbean Coast",,646
Wan Chai,Renaissance Harbour View Hotel,,647
Wan Chai,The Park Lane Hong Kong,,648
Sham Shui Po,"114 Broadway, Mei Foo Sun Chuen",,649
Yau Tsim Mong,Page 148,,650
Islands,"Block 11, Caribbean Coast",,651
Kwai Tsing,"On Tao House, Cheung On Estate",,652
Yau Tsim Mong,Best Western Grand Hotel,,653
Sai Kung,"Pik Lam House, Tsui Lam Estate",,654
Eastern,"Block 8, Provident Centre",,655
Eastern,"Block 48, Heng Fa Chuen",,656
Wan Chai,Crowne Plaza Hong Kong Causeway Bay,,657
Kwai Tsing,Tsing Fai San Tsuen,,658
Kwai Tsing,"On Tao House, Cheung On Estate",,659
Yau Tsim Mong,Park Hotel Hong Kong,,660
Southern,"Block 4, Hong Kong Parkview",,661
Islands,"Hong Yat House, Yat Tung Estate",,662
Sham Shui Po,"Fu Loy House, Fu Cheong Estate",,663
Sha Tin,Kingston Lodge,,664
Yau Tsim Mong,"Tower 7, The Waterfront",,665
Yau Tsim Mong,"Tower 7, The Waterfront",,666
Sha Tin,Chek Nai Ping,,667
Wan Chai,Elegant Terrace,,668
Yau Tsim Mong,Metropark Hotel,,669
Yuen Long,Ko Po Tsuen,,670
Southern,"Palm Drive, Redhill Peninsula",,671
Yau Tsim Mong,YMCA of Hong Kong,,672
Wan Chai,"Block B, Paterson Building",,673
North,"Cheung Chi House, Cheung Wah Estate",,674
Islands,Hong Kong Skycity Marriott Hotel,,675
Wan Chai,Dorsett Wanchai,,676
Southern,"Pik Shan House, Shek Pai Wan Estate",,677
Wong Tai Sin,"Lung Wah House, Lower Wong Tai Sin Estate",,678
Southern,L' Hotel Island South,,679
Sai Kung,"Block 4, Phase 3, Metrocity",,680
Southern,L' Hotel Island South,,681
Sai Kung,"Tower 10, Mount Pavilia",,682
Central & Western,Fairview Height,,683
Tai Po,"Lowrise 9, Mayfair by the Sea I",,684
Tai Po,"Villa San De Oka,  San Uk Ka Tsuen",,685
Central & Western,Artisan House,,686
Islands,"Tower 2A, Century Link",,687
Tai Po,"Block 9, Deerhill Bay",,688
Southern,The Manhattan,,689
Wan Chai,The Avenue,,690
Tuen Mun,"Siu Fu House, Siu Kwai Court",,691
Wan Chai,"Block D, Villa Lotto",,692
Central & Western,Bishop Lei International House,,693
Central & Western,Pak Fai Mansion,,694
Eastern,Lai Yee Court,,695
Southern,"Block 17, Mei Fai Court, South Horizons",,696
Southern,"Block 17, Mei Fai Court, South Horizons",,697
Kwun Tong,"Block 4, Laguna City",,698
Central & Western,Panorama Gardens,,699
Kwun Tong,Dorsett Kwun Tong,,700
Sai Kung,"Tower 6, The Papillons",,701
Tsuen Wan,"Tientsin House, Tsuen Wan Centre",,702
Sham Shui Po,"Marigold House, So Uk Estate",,703
Kwun Tong,Kwun Tong Mansion,,704
Yau Tsim Mong,Fuk Ming Building,,705
Kowloon City,Boland Court Phase 1,,706
Eastern,Oceanic Mansion,,707
Central & Western,Glory Heights,,708
Sha Tin,"Block 7, Villa Athena",,709
Tuen Mun,"Pacific House, Affluence Garden",,710
Tuen Mun,"Pacific House, Affluence Garden",,711
Yau Tsim Mong,Luxe Manor Hotel,,712
Southern,"Pik Shan House, Shek Pai Wan Estate",,713
Central & Western,Fortune Villa,,714
Sham Shui Po,"Tower 6, Banyan Garden",,715
Sha Tin,"Fung Wai House, Sun Tin Wai Estate",,716
Eastern,"Block 1, City Garden",,717
Kwun Tong,"Yin Tat House, On Tat Estate",,718
Southern,"Tower One, Phase  4, Bel-Air On The Peak",,719
Tai Po,"Tower 10, Mayfair by the Sea II",,720
Central & Western,Arezzo,,721
Southern,Hong Kong Reese Hotel,,722
Eastern,"Tower 1, Grand Promenade",,723
Sai Kung,"Block 7, Oscar by the Sea",,724
Sai Kung,"Block 7, Oscar by the Sea",,725
Sha Tin,"Tower 3, Park Delvedere",,726
Southern,"Pik Ngan House, Shek Pai Wan Estate",,727
Southern,Hong Kong Reese Hotel,,728
Yuen Long,Ha Tsuen Shi,,729
Yuen Long,"Block 30A, Park Yoho Genova",,730
Kwun Tong,Dorsett Kwun Tong,,731
Sham Shui Po,"Tower 6, Banyan Garden",,732
Yau Tsim Mong,Best Western Grand Hotel Hong Kong,,733
Islands,"Yuet Yat House, Yat Tung (II) Estate",,734
Wan Chai,"Friendship Court, 12 -22 Blue Pool Road",,735
Eastern,Parker 33,,736
Central & Western,"Phase 1, Blessings Garden",,737
Central & Western,Dragon Court,,739
Central & Western,Aigburth,,740
Kwai Tsing,"Wang Ngai House, Cheung Wang Estate",,741
Wan Chai,"Block A, Elm Tree Towers",,742
Islands,"Tower 2B, Century Link",,743
Kowloon City,Crowfields Court,,745
Kowloon City,35 Station Lane,,746
Islands,"Tower 1A, Century Link",,747
Southern,"Mei Wah Court, South Horizon",,748
Islands,"La Rossa A, Coastal Skyline",,749
Eastern,"Tung Hiu House, Tung Yuk Court",,750
Central & Western,"Tower 2, Queen's Terrace",,751
Tsuen Wan,"Tientsin House, Tsuen Wan Centre",,752
Islands,Headland Hotel,,753
Sai Kung,"Tak Fu House, Hau Tak Estate",,754
Wong Tai Sin,On Keung Building,,755
Yau Tsim Mong,Luxury Court,,756
Kowloon City,Tung Hei Court,,757
Yau Tsim Mong,Windsor Mansions,,758
Kwun Tong,"Sau Chi House, Sau Mau Ping Estate",,759
Wan Chai,Yick Shing Mansion,,760
Tuen Mun,Yonking Garden,,761
Tuen Mun,"Tip Sum House, Butterfly Estate",,762
Islands,"Block 10, Discovery Bay",,764
Southern,"Block 5, Yar Chee Villas",,765
