As of date,As of time,Countries/areas,Cumulative number of confirmed cases,Number of newly confirmed cases reported in the past 14 days,Cumulative number of deaths among confirmed cases,Remark
26/03/2020,10:00,Afghanistan,74,70,1,
26/03/2020,10:00,Albania,146,144,5,
26/03/2020,10:00,Algeria,264,247,17,
26/03/2020,10:00,Andorra,188,187,1,
26/03/2020,10:00,Angola,2,2,0,
26/03/2020,10:00,Antigua and Barbuda,3,3,0,
26/03/2020,10:00,Argentina,301,284,4,
26/03/2020,10:00,Armenia,265,264,0,
26/03/2020,10:00,Aruba,12,12,0,
26/03/2020,10:00,Australia,2252,2140,8,
26/03/2020,10:00,Austria,5282,5036,30,
26/03/2020,10:00,Azerbaijan,87,78,1,
26/03/2020,10:00,Bahamas,4,4,0,
26/03/2020,10:00,Bahrain,392,282,3,
26/03/2020,10:00,Bangladesh,39,36,4,
26/03/2020,10:00,Barbados,18,18,0,
26/03/2020,10:00,Belarus,81,72,0,
26/03/2020,10:00,Belgium,4269,4002,122,
26/03/2020,10:00,Belize,1,1,0,
26/03/2020,10:00,Benin,5,5,0,
26/03/2020,10:00,Bermuda,6,6,0,
26/03/2020,10:00,Bhutan,2,1,0,
26/03/2020,10:00,Bolivia,28,26,0,
26/03/2020,10:00,Bosnia and Herzegovina,164,160,2,
26/03/2020,10:00,Brazil,2201,2167,46,
26/03/2020,10:00,Brunei Darussalam,104,103,0,
26/03/2020,10:00,Bulgaria,220,210,3,
26/03/2020,10:00,Burkina Faso,114,112,3,
26/03/2020,10:00,Cabo Verde,3,3,0,
26/03/2020,10:00,Cambodia,91,88,0,
26/03/2020,10:00,Cameroon,72,70,1,
26/03/2020,10:00,Canada,1739,1646,25,
26/03/2020,10:00,Cayman Islands,5,5,1,
26/03/2020,10:00,Central African Republic,4,4,0,
26/03/2020,10:00,Chad,3,3,0,
26/03/2020,10:00,Chile,922,905,2,
26/03/2020,10:00,Colombia,306,303,3,
26/03/2020,10:00,Congo,4,4,0,
26/03/2020,10:00,Costa Rica,177,164,2,
26/03/2020,10:00,Côte d’Ivoire,72,72,0,
26/03/2020,10:00,Croatia,382,366,1,
26/03/2020,10:00,Cuba,48,48,1,
26/03/2020,10:00,Curaçao,6,6,1,
26/03/2020,10:00,Cyprus,124,122,3,
26/03/2020,10:00,Czech Republic,1394,1333,3,
26/03/2020,10:00,Democratic Republic of the Congo,45,44,2,
26/03/2020,10:00,Denmark,1591,1329,32,
26/03/2020,10:00,Djibouti,3,3,0,
26/03/2020,10:00,Dominica,2,2,0,
26/03/2020,10:00,Dominican Republic,312,307,6,
26/03/2020,10:00,Ecuador,1049,1034,27,
26/03/2020,10:00,Egypt,402,343,20,
26/03/2020,10:00,El Salvador,5,5,0,
26/03/2020,10:00,Equatorial Guinea,6,6,0,
26/03/2020,10:00,Eritrea,1,1,0,
26/03/2020,10:00,Estonia,369,356,0,
26/03/2020,10:00,Eswatini,4,4,0,
26/03/2020,10:00,Ethiopia,12,12,0,
26/03/2020,10:00,Faroe Islands,122,120,0,
26/03/2020,10:00,Fiji,4,4,0,
26/03/2020,10:00,Finland,792,752,1,
26/03/2020,10:00,France,25233,22952,1331,
26/03/2020,10:00,French Guiana,23,18,0,
26/03/2020,10:00,French Polynesia,25,25,0,
26/03/2020,10:00,Gabon,6,6,1,
26/03/2020,10:00,Gambia,2,2,0,
26/03/2020,10:00,Georgia,73,50,0,
26/03/2020,10:00,Germany,31554,29987,149,
26/03/2020,10:00,Ghana,53,53,2,
26/03/2020,10:00,Gibraltar,15,14,0,
26/03/2020,10:00,Greece,743,654,20,
26/03/2020,10:00,Greenland,4,4,0,
26/03/2020,10:00,Grenada,1,1,0,
26/03/2020,10:00,Guadeloupe,73,73,0,
26/03/2020,10:00,Guam,32,32,1,
26/03/2020,10:00,Guatemala,21,21,1,
26/03/2020,10:00,Guernsey,23,22,0,
26/03/2020,10:00,Guinea,4,4,0,
26/03/2020,10:00,Guyana,5,5,1,
26/03/2020,10:00,Haiti,7,7,0,
26/03/2020,10:00,Holy See,1,0,0,
26/03/2020,10:00,Honduras,30,30,0,
26/03/2020,10:00,Hong Kong Special Administrative Region,411,281,4,Including 1 probable case
26/03/2020,10:00,Hungary,226,213,10,
26/03/2020,10:00,Iceland,648,587,2,
26/03/2020,10:00,India,562,502,9,
26/03/2020,10:00,Indonesia,686,659,55,
26/03/2020,10:00,Iran,27017,18017,2077,
26/03/2020,10:00,Iraq,316,255,27,
26/03/2020,10:00,Ireland,1329,1295,7,
26/03/2020,10:00,Isle of Man,23,23,0,
26/03/2020,10:00,Israel,2170,2095,5,
26/03/2020,10:00,Italy,74386,61924,7503,
26/03/2020,10:00,Jamaica,21,20,1,
26/03/2020,10:00,Japan,1291,671,45,Excluding 712 cases were confirmed among passengers/crews in a cruise ship (including 10 fatal cases)
26/03/2020,10:00,Jersey,16,16,0,
26/03/2020,10:00,Jordan,153,152,0,
26/03/2020,10:00,Kazakhstan,79,79,0,
26/03/2020,10:00,Kenya,25,25,0,
26/03/2020,10:00,Korea,9241,1372,131,
26/03/2020,10:00,Kosovo,63,63,1,
26/03/2020,10:00,Kuwait,195,126,0,
26/03/2020,10:00,Kyrgyzstan,42,42,0,
26/03/2020,10:00,Lao People's Democratic Republic,2,2,0,
26/03/2020,10:00,Latvia,197,189,0,
26/03/2020,10:00,Lebanon,304,263,4,
26/03/2020,10:00,Liberia,3,3,0,
26/03/2020,10:00,Libya,1,1,0,
26/03/2020,10:00,Liechtenstein,47,46,0,
26/03/2020,10:00,Lithuania,209,208,2,
26/03/2020,10:00,Luxembourg,1099,1094,8,
26/03/2020,10:00,Macao Special Administrative Region,31,21,0,
26/03/2020,10:00,Madagascar,19,19,0,
26/03/2020,10:00,Mainland China,81285,492,3287,
26/03/2020,10:00,Malaysia,1624,1495,16,
26/03/2020,10:00,Maldives,13,5,0,
26/03/2020,10:00,Malta,120,116,0,
26/03/2020,10:00,Martinique,57,54,0,
26/03/2020,10:00,Mauritania,2,2,0,
26/03/2020,10:00,Mauritius,42,42,2,
