District,Building name,Last date of residence of the case(s),Related probable/confirmed cases
Wong Tai Sin,"Block 2, Kai Tak Garden",,275
Wan Chai,Hang Shun Mansions,,276
Wan Chai,307 Jaffe Road,,277
Wan Chai,Tagus Residences,,278
Islands,"Woodland Court, Parkvale Village",,279
Central & Western,Chi Residences 120,,281
Central & Western,208 Hollywood Road,,282
Southern,L'Hoel Island South,,283
Sha Tin,"Block 6, Bayshore Towers",,284
Yau Tsim Mong,"Tower 7, The Long Beach",,285
Sai Kung,Pak Kong Au Road,,286
Tsuen Wan,Indi Home,,287
Kwai Tsing,"On Hoi House, Cheung On Estate",,287
Eastern,"Block 6, Provident Centre",,288
Eastern,"On Hiu Mansion, Lei King Wan",,289
Southern,Ovolo Southside,,290
Southern,"Chun Tak House, Lung Tak Court",,291
Wan Chai,Rosedale Hotel Hong Kong,,292
Wan Chai,Monmouth Villa,,293
Tsuen Wan,"Block 1, City Point",,295
North,Fanling Wai South,,296
Eastern,Ramada Hong Kong Grand View,,297
North,"Lai Ming House, Wah Ming Estate",,298
Kowloon City,"Tower 3, Harbour View Horizon Hotel",,299
Yau Tsim Mong,Rosedale Hotel Kowloon,,300
Sha Tin,"Fook Lam House, Kwong Lam Court",,301
Sha Tin,Athlete's Hostel in HK Sports Institues,,302
Eastern,Tung Lam Court,,"303, 304"
Eastern,191-193 Shau Kei Wan Road,,306
Kwun Tong,"Tak Shui House, Tak Tin Estate",,308
Wan Chai,"Celeste Court, Fung Fai Terrace",,309
Central & Western,Valiant Park,,310
Kowloon City,8 Hok Ling Street,,311
Kwai Tsing,"Kwai Yat House, Kwai Hong Court",,312
Yau Tsim Mong,Lyton Building,,313
Sham Shui Po,"Yee Tai House, Yee Kok Court",,314
Central & Western,Wise Mansion,,315
Southern,Le Meridien Cyberport,,316
Sai Kung,Marina Cove,,317
Southern,"Block 4, Aqua 33",,318
Central & Western,"Block 8, Hee Wong Terrace",,319
Tuen Mun,The Hillgrove,,320
Islands,Novotel Citygate Hong Kong,,321
Kowloon City,25 Stafford Road,,322
Yau Tsim Mong,"Block 6, Parc Palais",,323
Yau Tsim Mong,Rosedale Hotel Kowloon,,324
Central & Western,"Vienna Court, Realty Gardens",,325
Southern,"Block D, The Manhattan",,326
Central & Western,"Tower 1, Hillsborough Court",,327
Islands,"Tower 10, the Visionary",,328
Tai Po,"Block 8, Phase 4, Tai Po Centre",,332
Yau Tsim Mong,"Kadoorie Avenue Mansion, 207 Prince Edward Road West",,333
Eastern,Braemar Hill Mansions,,334
Yau Tsim Mong,Best Western Grand Hotel Hong Kong,,335
Kowloon City,152 Waterloo Road,,336
Kwai Tsing,Mai Ning Building,,337
Kwai Tsing,"Chau Kwai House, Kwai Chung Estate",,338
Eastern,"Wah Hei House, Tung Hei Court, Sai Wan Ho",,339
Sai Kung,"Block 1, Park Mediterranean, Sai Kung",,339
Eastern,"Sui Fat House, Siu Sai Wan Estate, Chai Wan",,340
Wan Chai,"38 Broadwood Road, Happy Valley",,341
Southern,"Tung Yip House, Lei Tung Estate, Ap Lei Chau",,342
Eastern,"Stayed in Homy Inn, North Point",,342
Wan Chai,"Island Building, Wan Chai",,343
Sai Kung,"Tower 4, Metro City Phase 1",,344
Central & Western,"Fairlane Tower, Mid-levels",,345
Wan Chai,Po Ming Building,,346
Sha Tin,"Block 7, Villa Athena",,347
Eastern,"Block 3, Fullview Garden",,348
Sha Tin,"Yiu Shun House, Yiu On Estate",,349
Tai Po,"Block 10, Treasure Spot Palace",,350
Tai Po,"Block 10, Treasure Spot Palace",,351
Sai Kung,"Sai Keng Village, Sai Sha Road",,352
Kwun Tong,Dorsett Kwun Tong,,353
Central & Western,53 Hollywood Road,,354
Sha Tin,Block 11 Royal Ascot,,Returning from Japan (Diamond Princess cruise)
Central & Western,Chester Court,,Returning from Japan (Diamond Princess cruise)
Eastern,"Kam Shan Mansion, Taikoo Shing",,358
Kowloon City,Stafford Road,,359
Central & Western,312 Queen's Road West,,360
Central & Western,Bohemian House,,361
Central & Western,Golden Valley Mansion,,362
Southern,"Block C, The Manhattan",,363
Sha Tin,"Jade Heights, Belair Gardens",,366
Central & Western,Golden Valley Mansion,,367
Central & Western,Four Seasons Hotel Hong Kong,,"368, 369"
Central & Western,1 Ping On Lane,,370
Islands,"Mun Wo House, Mun Tung Estate",,371
Southern,"Block 12, South Horizons",,372
Wan Chai,Sing Kong Building,,373
Southern,"Block 25, Baguio Villa",,374
Central & Western,Wise Mansion,,375
Tai Po,San Uk Ka,,377
Central & Western,Centre Place,,378
Kowloon City,1 Oxford Road,,379
Eastern,6 Ming Yuen Western Street,,380
Sai Kung,Marina Cove,,381
Tai Po,"Block 3, Uptown Plaza",,383
Wan Chai,Hang Shun Mansions,,384
Sai Kung,"Kwong Cheong House, Kwong Ming Court",,385
Islands,"Ngan Yuet House, Ngan Wan Estate",,386
Wan Chai,Hang Shun Mansions,,387
Sai Kung,"King Min House, King Lam Estate",,388
Wan Chai,Percival House,,389
Wan Chai,Rosedale Hotel Hong Kong,,390
Wan Chai,1A Fung Fai Terrace,,391
Islands,Tai Long Wan Village,,392
Tai Po,Hong Lok Road East,,393
Yuen Long,Full Shing Building,,394
Tuen Mun,"Yonking Garden, Tsing Chuen Wai",,395
Islands,Auberge Discovery Bay Hong Kong,,396
Kwai Tsing,"Block 8, Tierra Verde",,397
Tsuen Wan,Dorsett Tsuen Wan,,398
Tuen Mun,Sun Fung Wai,,399
Yau Tsim Mong,Holiday Inn Golden Mile,,400
Yau Tsim Mong,Holiday Inn Golden Mile,,401
Central & Western,Welley Building,,402
Wan Chai,"Block A, Park Place",,403
Wan Chai,"Block A, Park Place",,404
Kowloon City,"Tower 16, Laguna Verde",,405
Southern,"Block 2, Stanford Villa",,406
Eastern,"Tower 1, Grand Promenade",,407
North,"Lane 12, Liu Pok Tsuen",,408
Yau Tsim Mong,"Tower 6, Island Harbourview",,409
Central & Western,52 Conduit Road,,410
Tuen Mun,San Hui Village,,411
Kwun Tong,Kwun Tong Disciplined Services Quarters,,412
Yuen Long,"Ping Oi House, Ping Yan Court",,413
Sham Shui Po,"8 Glee Path, Mei Foo Sun Chuen",,414
Kowloon City,Kwun Hei Court,,415
Yau Tsim Mong,The Kimberley Hotel,,415
Yau Tsim Mong,Best Western Plus Hotel,,415
Tai Po,Nam Wa Po,,416
Central & Western,Blessings Garden,,417
Yau Tsim Mong,"Block B, Oriental Gardens",,418
Wan Chai,Metropark Hotel Causeway Bay Hong Kong,,419
Wan Chai,Happy Valley 88,,420
Yau Tsim Mong,Sunpeace Court,,421
Eastern,Gold Mine Building,,422
Wan Chai,Haven Court,,423
Islands,"Tower 6, Caribbean Coast",,424
Yau Tsim Mong,19 Lai Chi Kok Road,,428
Southern,"Block 6, South Horizons, Ap Lei Chau",,429
Yau Tsim Mong,"Tower 2, One Silversea",,430
North,"Ching Chak House, Ching Ho Estate",,431
Wan Chai,"Yee Hing Building, 357 Hennessy Road",,432
Wan Chai,Hang Shun Mansions,,432
Wan Chai,Hang Shun Mansions,,433
Wan Chai,Hang Shun Mansions,,434
Central & Western,The Harbourview,,435
Yuen Long,"Heng Lai House, Tin Heng Estate",,436
Kowloon City,"Tower 5, One Homantin",,437
Central & Western,St Paul's Terrace,,438
Tai Po,Villa Castell,,439
Wan Chai,Hang Shun Mansions,,440
Yau Tsim Mong,Rosewood Hong Kong,,441
Eastern,"Cheuk Wah House, Hing Wah (I) Estate",,442
Eastern,Tai Lung House,,444
Wong Tai Sin,"Tower 6, The Latitude",,446
Kowloon City,"Chiu Man House, Oi Man Estate",,447
Sai Kung,"Tower 6, Nan Fung Plaza",,448
Sham Shui Po,280 Ki Lung Street,,450
Central & Western,379 Queen's Road Central,,451
Central & Western,8 Mercer Street,,452
Central & Western,18 Eastern Street,,453
Kwun Tong,"Lee Yip House, Shun Lee Estate",,454
Yuen Long,Yan Sau Wai,,455
Kwun Tong,"Sau Wah House, Sau Mau Ping Estate",,458
Yau Tsim Mong,Shining Heights,,459
Sai Kung,"Tower 9, Metro City Phase 2",,460
Islands,"Twilight Court, Peninsula Village",,461
Kwun Tong,"Block A, Hyde Towers",,462
Southern,"Block B, Abba House",,463
Central & Western,Scholastic Garden,,464
Central & Western,8 Kennedy Road,,465
Yuen Long,"Block 4, Sun Yuen Long Centre",,466
Wan Chai,"Block A, Elm Tree Towers",,467
Central & Western,"Block 2, Villas Sorrento",,468
Wan Chai,OZO Wesley Hong Kong,,469
Yau Tsim Mong,YMCA,,470
Tuen Mun,"Block 2, Sun Tuen Mun Centre",,471
Tai Po,"Tower 2, Solaria",,472
Yau Tsim Mong,392 Reclamation Street,,473
Yau Tsim Mong,The Luxe Manor,,474
Sai Kung,The Palisades,,475
Southern,57 South Bay Road,,476
Wan Chai,Yick Shing Mansion,,477
Sai Kung,"5B, Wings At Sea, Lohas Park",,478
Tsuen Wan,"Hoi Tsui Mansion, Riviera Gardens",,480
Eastern,33 Kam Wa Street,,481
Kwun Tong,Dorsett Kwun Tong,,482
Sha Tin,Scenery Garden,,483
Wong Tai Sin,"Ching Ming House, Tsz Ching Estate",,484
Southern,L'hotel Island South,,485
Sha Tin,Courtyard by Marriott Hong Kong Sha Tin,,486
Wan Chai,OZO Wesley Hong Kong,,487
Kwun Tong,"Hiu Tin House, Hiu Lai Court",,488
Kwun Tong,"Hiu Tin House, Hiu Lai Court",,489
Yuen Long,"Block 4, Locwood Court, Kingswood Villas",,490
Kwun Tong,"Block 14, Richland Gardens",,491
Kwai Tsing,"Block 8, Tierra Verde",,492
Yau Tsim Mong,"Block 3, Charming Garden",,493
Sham Shui Po,Super Tower,,494
Sha Tin,"Hin Yeung House, Hin Keng Estate",,495
Southern,Kam Fung Building,,496
Yau Tsim Mong,Willie Court,,497
Yau Tsim Mong,Tsim Sha Tsui Mansion,,498
Yau Tsim Mong,Kensington Plaza,,499
Eastern,"Block 33, Heng Fa Chuen",,500
Wan Chai,Hang Shun Mansions,,501
Tuen Mun,"Block 3, Chelsea Heights",,504
Sha Tin,"Block 2, Castello",,507
Southern,"Block CD, 142 Pokfulam Road",,508
Kowloon City,Hing Lee Building,,509
Sha Tin,"Wai Sum House, Lung Hang Estate",,510
Yuen Long,"2B, Park Yoho",,511
Yau Tsim Mong,Wai Ching Mansion,,512
Wan Chai,310-312 Hennessy Road,,513
Kowloon City,"Tower 3, Mantin Heights",,514
Kwun Tong,"Block A, Hyde Tower",,515
Yau Tsim Mong,Shun Hing Building,,516
Sham Shui Po,280 Ki Lung Street,,517
Kwun Tong,Telford Gardens Block Q2,,518
Yau Tsim Mong,315 Nathan Road,,519
Yau Tsim Mong,"Tower 3, Waterfront",,520
Central & Western,"Tower 2, Centrestage",,522
Central & Western,"Tower 2, Centrestage",,523
Wan Chai,Ka Yee Building,,524
Wan Chai,238-240 Lockhart Road,,525
Kwai Tsing,"Luk Kwai House, Kwai Chung Estate",,526
Wan Chai,Queen's Cube,,528
Yau Tsim Mong,Ocean View Court,,529
Yau Tsim Mong,22 Cheong Lok Street,,531
Kwai Tsing,Silka Tsuen Wan Hotel,,532
Southern,"Pik Shan House, Shek Pai Wan Estate",,533
Eastern,Fok Cheong Building,,534
Central & Western,32 Gough Street,,535
Wan Chai,Golden Jubilee House,,536
Central & Western,Ardshiel,,537
